Formulation_ID,group_key,group_primary_cas,group_primary_name,group_key_src,group_primary_from_same_row,group_primary_ing_idx,group_primary_cas_ing_idx,group_primary_name_ing_idx
MIX434,91465-08-6,91465-08-6,"Other ingredients (inert, granular carrier)",cas,False,3.0,3.0,0.0
MIX435,23031-36-9,23031-36-9,Other ingredients (inert),cas,True,0.0,0.0,0.0
MIX436,57754-85-5,57754-85-5,Clopyralid monoethanolamine salt (Clopyralid-olamine),cas,True,0.0,0.0,0.0
MIX437,79622-59-6,79622-59-6,Fluazinam,cas,True,0.0,0.0,0.0
MIX438,68476-86-8,68476-86-8,Propane/n-Butane,cas,True,0.0,0.0,0.0
MIX439,64-17-5,64-17-5,Ethanol,cas,True,1.0,1.0,1.0
MIX44,33089-61-1,33089-61-1,"Amitraz (ISO), N,N-bis(2,4-xylyliminomethyl)methylamine",cas,True,0.0,0.0,0.0
MIX440,874967-67-6,874967-67-6,Sedaxane,cas,True,1.0,1.0,1.0
MIX441,874967-67-6,874967-67-6,Sedaxane,cas,True,1.0,1.0,1.0
MIX442,1317-39-1,1317-39-1,Dicopper oxide,cas,True,0.0,0.0,0.0
MIX443,56-81-5,56-81-5,Inert Ingredients (including Glycerin),cas,True,1.0,1.0,1.0
MIX444,66230-04-4,66230-04-4,Esfenvalerate,cas,True,1.0,1.0,1.0
MIX445,38641-94-0,38641-94-0,"Glyphosate, N-(phosphonomethyl)glycine, in form of its isopropylamine salt",cas,True,2.0,2.0,2.0
MIX446,138261-41-3,138261-41-3,Imidacloprid,cas,True,1.0,1.0,1.0
MIX447,87392-12-9,87392-12-9,S-metolachlor,cas,True,0.0,0.0,0.0
MIX448,372137-35-4,372137-35-4,"Saflufenacil (ISO); N'-{2-chloro-4-fluoro-5-[1,2,3,6-tetrahydro-3-methyl-2,6-dioxo-4-(trifluoromethyl)pyrimidin-1-yl]benzoyl}-N-isopropyl-N-methylsulfamide",cas,True,0.0,0.0,0.0
MIX449,1330-20-7,1330-20-7,Xylene,cas,True,3.0,3.0,3.0
MIX45,97-99-4,97-99-4,Tetrahydrofurfuryl alcohol,cas,True,1.0,1.0,1.0
MIX450,2008-39-1,2008-39-1,"2,4-D dimethylamine salt",cas,True,1.0,1.0,1.0
MIX451,56425-91-3,56425-91-3,Flurprimidol,cas,True,1.0,1.0,1.0
MIX452,9016-87-9,9016-87-9,Diphenylmethanediisocyanate,cas,True,1.0,1.0,1.0
MIX453,148477-71-8,148477-71-8,Spirodiclofen,cas,True,0.0,0.0,0.0
MIX454,203313-25-1,203313-25-1,Spirotetramet,cas,True,1.0,1.0,1.0
MIX455,6062-26-6,6062-26-6,MCPB sodium salt (active ingredient),cas,True,0.0,0.0,0.0
MIX456,118134-30-8,118134-30-8,Spiroxamine Technical,cas,True,1.0,1.0,1.0
MIX457,68359-37-5,68359-37-5,Cyfluthrin,cas,True,2.0,2.0,2.0
MIX458,118134-30-8,118134-30-8,Spiroxamine,cas,True,0.0,0.0,0.0
MIX459,91465-08-6,91465-08-6,lambda-Cyhalothrin,cas,True,4.0,4.0,4.0
MIX46,82558-50-7,82558-50-7,Isoxaben,cas,True,6.0,6.0,6.0
MIX460,93-15-2,93-15-2,Methyleugenol,cas,True,7.0,7.0,7.0
MIX461,35554-44-0,35554-44-0,Imazalil,cas,True,2.0,2.0,2.0
MIX462,131860-33-8,131860-33-8,Azoxystrobin,cas,True,3.0,3.0,3.0
MIX463,165252-70-0,165252-70-0,Dinotefuran,cas,True,1.0,1.0,1.0
MIX464,131341-86-1,131341-86-1,Fludioxonil,cas,True,1.0,1.0,1.0
MIX465,7631-86-9,7631-86-9,"Silica, amorphous - 60.00%",cas,True,0.0,0.0,0.0
MIX466,1689-99-2,1689-99-2,Bromoxynil octanoate,cas,True,5.0,5.0,5.0
MIX467,51-03-6,51-03-6,Piperonyl butoxide,cas,True,2.0,2.0,2.0
MIX468,64742-95-6,64742-95-6,"Solvent Naphtha (petroleum), light aromatic",cas,True,2.0,2.0,2.0
MIX469,107534-96-3,107534-96-3,Tebuconazole,cas,True,0.0,0.0,0.0
MIX47,139968-49-3,139968-49-3,Metaflumizone,cas,True,1.0,1.0,1.0
MIX470,1332-58-7,1332-58-7,Kaolin,cas,True,1.0,1.0,1.0
MIX471,107534-96-3,107534-96-3,Tebuconazole (technical),cas,True,0.0,0.0,0.0
MIX472,107534-96-3,107534-96-3,Tebuconazole,cas,True,0.0,0.0,0.0
MIX473,79-14-1,79-14-1,"Acetic acid, hydroxy- Glycolic Acid",cas,True,0.0,0.0,0.0
MIX474,68359-37-5,68359-37-5,Cyfluthrin (TEMPO),cas,True,0.0,0.0,0.0
MIX475,5915-41-3,5915-41-3,Terbuthylazine (Terbutylazine),cas,True,1.0,1.0,1.0
MIX476,872-50-4,872-50-4,N-Methyl-2-pyrrolidone,cas,True,2.0,2.0,2.0
MIX477,120068-37-3,120068-37-3,Fipronil,cas,True,0.0,0.0,0.0
MIX478,7783-20-2,7783-20-2,Ammonium sulfate,cas,True,1.0,1.0,1.0
MIX479,240494-70-6,240494-70-6,Metofluthrin,cas,True,1.0,1.0,1.0
MIX48,139968-49-3,139968-49-3,Metaflumizone,cas,True,0.0,0.0,0.0
MIX480,82-68-8,82-68-8,Pentachloronitrobenzene (PCNB),cas,True,5.0,5.0,5.0
MIX481,121-75-5,121-75-5,Malathion,cas,True,1.0,1.0,1.0
MIX482,7704-34-9,7704-34-9,Sulfur,cas,True,0.0,0.0,0.0
MIX483,81406-37-3,81406-37-3,Fluroxypyr-meptyl,cas,True,7.0,7.0,7.0
MIX484,148-79-8,148-79-8,Thiabendazole,cas,True,1.0,1.0,1.0
MIX485,64742-47-8,64742-47-8,De-aromatised Hydrocarbon,cas,True,0.0,0.0,0.0
MIX486,165252-70-0,165252-70-0,Dinotefuran,cas,True,2.0,2.0,2.0
MIX487,317815-83-1,317815-83-1,Thiencarbazone-methyl,cas,True,0.0,0.0,0.0
MIX488,133-06-2,133-06-2,Captan,cas,True,1.0,1.0,1.0
MIX489,872-50-4,872-50-4,N-Methyl-2-pyrrolidone (기타성분 중 일부),cas,True,2.0,2.0,2.0
MIX49,107534-96-3,107534-96-3,Tebuconazole,cas,True,1.0,1.0,1.0
MIX490,14808-60-7,14808-60-7,"Crystalline Silica, Quartz and Cristobalite",cas,True,0.0,0.0,0.0
MIX491,210880-92-5,210880-92-5,Clothianidin,cas,True,5.0,5.0,5.0
MIX492,67-63-0,67-63-0,Isopropyl Alcohol R11,cas,True,0.0,0.0,0.0
MIX493,153719-23-4,153719-23-4,Thiamethoxam,cas,True,2.0,2.0,2.0
MIX494,137-26-8,137-26-8,Thiram,cas,True,5.0,5.0,5.0
MIX495,23564-05-8,23564-05-8,Thiophanate-methyl,cas,True,1.0,1.0,1.0
MIX496,153719-23-4,153719-23-4,Thiamethoxam,cas,True,3.0,3.0,3.0
MIX497,129558-76-5,129558-76-5,Tolfenpyrad,cas,True,1.0,1.0,1.0
MIX498,64742-94-5,64742-94-5,"Solvent naphtha (petroleum), heavy aromatic",cas,True,0.0,0.0,0.0
MIX499,76674-21-0,76674-21-0,Flutriafol,cas,True,0.0,0.0,0.0
MIX5,104206-82-8,104206-82-8,Mesotrione,cas,True,0.0,0.0,0.0
MIX50,117428-22-5,117428-22-5,Other Ingredients,cas,False,0.0,0.0,2.0
MIX500,8018-01-7,8018-01-7,Mancozeb,cas,True,4.0,4.0,4.0
MIX501,23564-05-8,23564-05-8,Thiophanate methyl,cas,True,0.0,0.0,0.0
MIX502,23564-05-8,23564-05-8,Thiophanate-methyl,cas,True,0.0,0.0,0.0
MIX503,1071-83-6,1071-83-6,Glyphosate,cas,True,3.0,3.0,3.0
MIX504,125116-23-6,125116-23-6,"Metconazole (5-[(4-chlorophenyl)methyl]-2,2-dimethyl-1-(1H-1,2,4-triazol-1-ylmethyl)cyclopentanol)",cas,True,0.0,0.0,0.0
MIX505,39515-41-8,39515-41-8,Fenpropathrin,cas,True,2.0,2.0,2.0
MIX506,76-87-9,76-87-9,Fentin,cas,True,2.0,2.0,2.0
MIX507,52645-53-1,52645-53-1,Permethrin,cas,True,4.0,4.0,4.0
MIX508,122548-33-8,122548-33-8,Imazosulfuron Technical,cas,True,0.0,0.0,0.0
MIX509,165252-70-0,165252-70-0,Dinotefuran,cas,True,4.0,4.0,4.0
MIX51,129909-90-6,129909-90-6,Amicarbazone,cas,True,1.0,1.0,1.0
MIX510,34590-94-8,34590-94-8,Dipropylene Glycol Monomethyl Ether (DPM),cas,True,0.0,0.0,0.0
MIX511,1897-45-6,1897-45-6,Other/inert ingredients,cas,False,5.0,5.0,3.0
MIX512,70901-12-1,70901-12-1,Other/inert ingredients,cas,True,0.0,0.0,0.0
MIX513,199119-58-9,199119-58-9,Trifloxysulfuron-sodium,cas,True,0.0,0.0,0.0
MIX514,62-73-7,62-73-7,Dichlorvos (DDVP),cas,True,0.0,0.0,0.0
MIX515,1582-09-8,1582-09-8,Trifluralin,cas,True,0.0,0.0,0.0
MIX516,131983-72-7,131983-72-7,Triticonazole,cas,True,0.0,0.0,0.0
MIX517,82657-04-3,82657-04-3,Other ingredients,cas,False,1.0,1.0,0.0
MIX518,8042-47-5,8042-47-5,Other/inert ingredients,cas,True,1.0,1.0,1.0
MIX519,64742-94-5,64742-94-5,"Solvent Naphtha (petroleum), heavy aromatic",cas,True,3.0,3.0,3.0
MIX52,64742-94-5,64742-94-5,"Solvent Naphtha (petroleum), heavy aromatic",cas,True,2.0,2.0,2.0
MIX520,90-43-7,90-43-7,2-Phenylphenol (O-Phenylphenol),cas,True,2.0,2.0,2.0
MIX521,330-54-1,330-54-1,Diuron,cas,True,2.0,2.0,2.0
MIX522,183675-82-3,183675-82-3,Other Ingredients,cas,False,0.0,0.0,1.0
