endpoint,Formulation_ID,quote_missing,has_endpoint_word,has_explicit_negative,has_suspicious_marker,has_no_data_marker,quote
eye,MIX581,False,True,True,False,False,"Based on animal data, this product is not a skin or eye irritant, and is not a skin sensitizer in animals."
eye,MIX586,False,True,True,False,False,Serious eye damage/eye irritation / Shall not be classified as seriously damaging to the eye or eye irritant.
eye,MIX587,False,True,True,False,False,Serious eye damage/eye irritation  / Eyes - rabbit  / Result: No eye irritation
eye,MIX589,False,True,True,True,False,Irritation / corrosion  / Assessment of irritating effects: May cause slight irritation to the eyes. May cause slight irritation to the skin. /  / Eye  / Species: rabbit  / Result: non-irritant
eye,MIX594,False,True,True,False,False,Serious eye damage/irritation Non-irritating (Rabbit)
eye,MIX595,False,True,True,True,False,Irritation / corrosion / Assessment of irritating effects: May cause slight irritation to the skin. May cause slight but temporary irritation to the eyes. /  / Eye / Species: rabbit / Result: non-irritant / Method: OECD Guideline 405
eye,MIX612,False,True,True,False,False,Eye irritation: Non-irritant
eye,MIX618,False,True,True,False,False,· on the eye: No irritating effect.
eye,MIX621,False,True,True,False,False,· on the eye: No irritating effect.
eye,MIX623,False,False,False,False,False,Classification - (per U.S. OSHA 29 CFR 1910.1200 (Hazcom 2012)) / Not a dangerous substance or mixture according to the Globally Harmonized System (GHS).
eye,MIX629,False,True,True,False,False,Eye Irritation (Category III) Cause moderate eye irritation | Not classified
eye,MIX630,False,True,True,False,False,Serious eye damage/irritation / Classification criteria are not met based on available data
eye,MIX632,False,True,True,False,False,This material is not hazardous under the criteria of the Federal OSHA Hazard Communication Standard 29CFR 1910.1200. ... Serious eye damage/eye irritation No eye irritation (Rabbit)
eye,MIX645,False,True,False,False,False,"Eye effects/eye irritation: Mild, transient irritant"
eye,MIX649,False,True,False,False,True,Classifications: Not Applicable | Signal Word (OSHA): Not Applicable | Hazard Statements: Not Applicable ... Eye Contact: Minimally Irritating (Rabbit)
eye,MIX653,False,True,False,False,False,Serious eye damage/eye irritation Slight irritant effect - does not require labelling. (Rabbit) Test conducted with a similar formulation.
eye,MIX659,False,True,False,False,True,Classifications: Not Applicable / Signal Word (OSHA): Not Applicable / Hazard Statements: Not Applicable ... Eye Contact: Mildly Irritating (Rabbit) (based on a substantially similar formulation)
eye,MIX661,False,True,True,True,False,Serious eye damage/eye irritation / May cause slight temporary eye irritation. / Minimal effects that do not meet the threshold for classification.
eye,MIX668,False,True,True,False,False,"Serious Eye Damage / Irritation: Based on classification principles, the classification criteria are not met."
eye,MIX67,False,True,True,False,False,Serious eye damage/irritation : Not classified pH: 7 - 8
eye,MIX670,False,True,True,False,False,"Serious eye damage/eye irritation Based on available data, the classification criteria are not met."
eye,MIX672,False,True,True,False,False,Serious eye damage/eye irritation Eyes - Rabbit Result: No eye irritation
eye,MIX7,False,True,True,False,False,Serious eyes damages/irritation rabbit: non-irritant
eye,MIX701,False,True,False,False,False,Eye The mixture is not considered to be an eye irritant. Sum of eye irritants <10%
eye,MIX704,False,False,True,False,False,Classification - (per U.S. OSHA 29 CFR 1910.1200 (Hazcom 2012)) / Not a hazardous substance or mixture according to the Globally Harmonized System (GHS).
eye,MIX706,False,True,True,False,False,Acute Eye Contact: This product is expected to cause minimal or no eye irritation. The expected adverse health effects resulting from an exposure may include redness and possibly some minor swelling.
eye,MIX708,False,True,True,True,False,Health hazards Not classified. ... Hazard statement The mixture does not meet the criteria for classification. / Serious eye damage/eye irritation: Direct contact with eyes may cause temporary irritation.
eye,MIX709,False,True,True,True,False,Health hazards Not classified. ... Hazard statement The mixture does not meet the criteria for classification. / Serious eye damage/eye irritation: Direct contact with eyes may cause temporary irritation.
eye,MIX758,False,True,True,False,False,Serious eye damage/eye irritation / Eyes - Bovine cornea / Result: No eye irritation - 4 h / (OECD Test Guideline 437)
eye,MIX759,False,True,True,False,False,Eye Irritation (Category III) Cause moderate eye irritation | Not classified
eye,MIX773,False,True,True,False,False,Eye Contact: Non-Irritating (Rabbit)
eye,MIX794,False,False,True,False,False,2.1 Classification of the substance or mixture Not a hazardous substance or mixture.
eye,MIX809,False,True,True,False,False,Serious eye damage/eye irritation / Shall not be classified as seriously damaging to the eye or eye irritant.
eye,MIX810,False,False,False,False,False,This product is not considered hazardous by the US OSHA Hazard Communication Standard 2024 (29 CFR 1910.1200).
eye,MIX811,False,False,False,False,False,This product is not considered hazardous by the US OSHA Hazard Communication Standard 2024 (29 CFR 1910.1200).
eye,MIX823,False,True,True,False,False,"(c) serious eye damage/irritation; Based on available data, the classification criteria are not met"
eye,MIX846,False,True,True,False,False,Serious eye damage/eye irritation / Shall not be classified as seriously damaging to the eye or eye irritant.
eye,MIX849,False,True,True,False,False,Serious eye damage/eye irritation / Shall not be classified as seriously damaging to the eye or eye irritant.
eye,MIX851,False,True,True,False,False,Serious eye damage/eye irritation  / Eyes - rabbit  / Result: No eye irritation
eye,MIX852,False,True,True,False,False,Serious eye damage/eye irritation  / Eyes - rabbit  / Result: No eye irritation
eye,MIX853,False,True,True,False,False,Serious eye damage/eye irritation / Shall not be classified as seriously damaging to the eye or eye irritant.
eye,MIX854,False,True,True,False,False,Serious eye damage/eye irritation / Shall not be classified as seriously damaging to the eye or eye irritant.
eye,MIX868,False,True,True,False,False,EYE DAMAGE OR IRRITATION NOT CLASSIFIED.
eye,MIX873,False,True,True,False,False,Serious eye damage/eye irritation / Shall not be classified as seriously damaging to the eye or eye irritant.
eye,MIX888,False,False,True,False,False,This chemical is not considered hazardous by the 2012 OSHA Hazard Communication Standard (29 CFR 1910.1200) ... Not classified ... Hazard statements None
eye,MIX905,False,True,True,False,False,Serious eye damage/eye irritation / Shall not be classified as seriously damaging to the eye or eye irritant.
