Formulation_ID,ing_idx,ing_name_best,ing_cas_best_v4,ing_cas_best_v5,smiles_v4,smiles_v5,june_audit_recovered_v4,june_audit_recovered_v5,june_merge_basis,v4_defect_verdict
EyeIrritation6pack_PID988,2,"Alcohols, C13-15 Branched and Linear, Ethoxylated 5-10",157627-86-6,157627-86-6,C1=CC=C2C(=C1)C(=O)NS2,,True,False,,CAS_OK
MIX1048,0,Diethylene Glycol Monobutyl Ether,112-34-5,,CCCCOCCOCCO,CCCCOCCOCCO,True,False,skipped_length_mismatch,UNVERIFIABLE
MIX1048,1,Triethanolamine,84133-50-6,,OCCN(CCO)CCO,OCCN(CCO)CCO,True,False,skipped_length_mismatch,UNVERIFIABLE
MIX1052,0,"Limonene, (-)-",90028-76-5,,C=C(C)[C@@H]1CC=C(C)CC1,C=C(C)[C@@H]1CC=C(C)CC1,True,False,skipped_length_mismatch,CAS_WRONG
MIX1052,1,(+-)-alpha-Pinene,5989-54-8,80-56-8,CC1=CCC2CC1C2(C)C,CC1=CCC2CC1C2(C)C,True,True,name_ref_unique,CAS_WRONG
MIX1052,2,Camphene,80-56-8,,C=C1C2CCC(C2)C1(C)C,C=C1C2CCC(C2)C1(C)C,True,False,skipped_length_mismatch,UNVERIFIABLE
MIX1052,3,Beta-Pinene,79-92-5,,C=C1CCC2CC1C2(C)C,C=C1CCC2CC1C2(C)C,True,False,skipped_length_mismatch,UNVERIFIABLE
MIX1052,4,Terpinolene,127-91-3,,CC1=CCC(=C(C)C)CC1,CC1=CCC(=C(C)C)CC1,True,False,skipped_length_mismatch,UNVERIFIABLE
MIX1052,5,Myrcene,586-62-9,,C=CC(=C)CCC=C(C)C,C=CC(=C)CCC=C(C)C,True,False,skipped_length_mismatch,UNVERIFIABLE
MIX1052,6,Alpha-Terpineol,123-35-3,,CC1=CCC(C(C)(C)O)CC1,CC1=CCC(C(C)(C)O)CC1,True,False,skipped_length_mismatch,UNVERIFIABLE
MIX1052,7,P-Cymene,98-55-5,,Cc1ccc(C(C)C)cc1,Cc1ccc(C(C)C)cc1,True,False,skipped_length_mismatch,UNVERIFIABLE
MIX1065,2,Benzyl Alcohol,84012-43-1,100-51-6,OCc1ccccc1,OCc1ccccc1,True,True,name_ref_unique,CAS_WRONG
MIX1065,3,Potassium Sorbate,84775-95-1,,C/C=C/C=C/C(=O)[O-].[K+],C/C=C/C=C/C(=O)[O-].[K+],True,False,skipped_length_mismatch,UNVERIFIABLE
MIX155,0,Potassium salt of aminocyclopyrachlor,858956-35-1,858956-35-1,C1CC1C2=NC(=C(C(=N2)N)Cl)C(=O)[O-].[K+],,True,False,skipped_length_mismatch,UNVERIFIABLE
MIX155,1,Inert Ingredients,858956-08-8,,C1CC1C2=NC(=C(C(=N2)N)Cl)C(=O)O,,True,False,skipped_length_mismatch,UNVERIFIABLE
MIX162,3,Fatty alcohol ethoxylate,68131-39-5,68131-39-5,C1=CC=C2C(=C1)C(=O)NS2,,True,False,skipped_length_mismatch,UNVERIFIABLE
MIX17,1,EC index no : 606,143-00-0,,CCCCCCCCCCCCOS(=O)(=O)O.OCCNCCO,CCCCCCCCCCCCOS(=O)(=O)O.OCCNCCO,True,False,skipped_no_safe_pair,NONCHEM_TOKEN_GOT_STRUCTURE
MIX290,1,"Dodecylbenzene sulphonate, isopropylamine salt",26264-05-1,26264-05-1,O=[Si]=O,,True,False,,CAS_OK
MIX297,1,Sodium alkyl ether sulphate,68585-34-2,68585-34-2,CC(COC)O,,True,False,,CAS_OK
MIX357,2,Lignin Sulfonate Salt,,,OP(=O)([O-])[O-].[Na+].[Na+],,True,False,skipped_length_mismatch,UNVERIFIABLE
MIX362,3,Ethoxylated tallow alkyl amines,61791-26-2,61791-26-2,CC(CO)O,,True,False,,CAS_OK
MIX423,1,Content (W/W),131983-72-7,,CC1(CC/C(=C\C2=CC=C(C=C2)Cl)/C1(CN3C=NC=N3)O)C,,True,False,skipped_length_mismatch,NONCHEM_TOKEN_GOT_STRUCTURE
MIX468,2,"Solvent Naphtha (petroleum), light aromatic",64742-95-6,64742-95-6,CC1=CC(=C(C=C1)C)C,,True,False,,CAS_OK
MIX77,1,Content (W/W),7783-20-2,,[NH4+].[NH4+].[O-]S(=O)(=O)[O-],,True,False,skipped_length_mismatch,NONCHEM_TOKEN_GOT_STRUCTURE
MIX77,6,Kaolin,1332-58-7,1332-58-7,,O.O.[Al+3].[Al+3].[O-][Si]([O-])([O-])O[Si]([O-])([O-])[O-],False,True,name_ref_unique,UNVERIFIABLE
