Formulation_ID,ing_idx,ing_name_best,merged_cas,merged_smiles,june_merge_basis,cas_format_checkdigit_ok,smiles_rdkit_parses,reference_cas_for_name,cas_consistent_with_reference,smiles_consistent_with_reference
MIX1065,0,Water,7732-18-5,O,name_ref_unique,True,True,7732-18-5,True,True
MIX1065,1,Glycerol,56-81-5,OCC(O)CO,name_ref_unique,True,True,56-81-5,True,True
MIX1065,2,Benzyl Alcohol,100-51-6,OCc1ccccc1,name_ref_unique,True,True,100-51-6,True,True
MIX127,0,Chlorothalonil not listed,1897-45-6,N#Cc1c(Cl)c(Cl)c(Cl)c(C#N)c1Cl,length_matched_all,True,True,1897-45-6,True,True
MIX127,1,Propylene Glycol not listed,57-55-6,CC(O)CO,length_matched_all,True,True,57-55-6,True,True
MIX186,8,2-benzisothiazol-3(2H)-one >= 0.05 - <,2634-33-5,,name_cas_length_matched,True,,2634-33-5,True,
MIX27,1,Clay,8031-18-3,[Al+3].[Al+3].[O-2].[O-2].[O-2].[O-2].[O-2].[Si+4],length_matched_all,True,True,8031-18-3,True,True
MIX27,2,contains Crystalline Silica,14808-60-7,O=[Si]=O,length_matched_all,True,True,14808-60-7,True,True
MIX77,6,Kaolin,1332-58-7,O.O.[Al+3].[Al+3].[O-][Si]([O-])([O-])O[Si]([O-])([O-])[O-],name_ref_unique,True,True,1332-58-7,True,True
MIX90,0,Isopropanol -No,67-63-0,CC(C)O,length_matched_all,True,True,67-63-0,True,True
MIX90,1,Ethanol -No,64-17-5,CCO,length_matched_all,True,True,64-17-5,True,True
MIX90,2,Butoxyethanol -No.: 1-5,111-76-2,CCCCOCCO,length_matched_all,True,True,111-76-2,True,True
MIX90,3,Didecyldimethylammonium chloride -No,7173-51-5,CCCCCCCCCC[N+](C)(C)CCCCCCCCCC.[Cl-],length_matched_all,True,True,7173-51-5,True,True
