sheet,column,role,dtype,n_notna,fill_pct,in_X,sds_coderived,feature_role,exclude_by_default
formulation,ntp_skin_ghs_cat,label_source,str,544,32.48,False,False,label_source,False
formulation,has_ntp_label,feature,bool,1675,100.0,True,False,bookkeeping,True
formulation,n_ntp_endpoints,feature,int64,1675,100.0,True,False,bookkeeping,True
formulation,ntp_eye_assay,label_source,str,608,36.3,False,False,label_source,False
formulation,ntp_skin_assay,label_source,str,544,32.48,False,False,label_source,False
formulation,ntp_eye_source,label_source,str,608,36.3,False,False,label_source,False
formulation,ntp_skin_source,label_source,str,599,35.76,False,False,label_source,False
formulation,ntp_eye_n_records,label_source,float64,608,36.3,False,False,label_source,False
formulation,ntp_skin_n_records,label_source,float64,544,32.48,False,False,label_source,False
formulation,ntp_epa_eye_cat_all,label_source,float64,608,36.3,False,False,label_source,False
formulation,ntp_epa_skin_cat_all,label_source,str,544,32.48,False,False,label_source,False
formulation,ntp_skin_irritation_invitro_calls,label_source,str,9,0.54,False,False,label_source,False
formulation,ntp_skin_corrosion_invitro_calls,label_source,str,46,2.75,False,False,label_source,False
formulation,ntp_conflict_eye_irritation,label_source,bool,1675,100.0,False,False,label_source,False
formulation,ntp_conflict_eye_corrosion,label_source,bool,1675,100.0,False,False,label_source,False
formulation,ntp_conflict_skin_irritation,label_source,bool,1675,100.0,False,False,label_source,False
formulation,ntp_conflict_skin_corrosion,label_source,bool,1675,100.0,False,False,label_source,False
formulation,ntp_conflict_skin_sensitization,label_source,bool,1675,100.0,False,False,label_source,False
formulation,n_y_conflict,feature,int64,1675,100.0,True,False,bookkeeping,True
formulation,y_conflict_rule,label_source,str,99,5.91,False,False,label_source,False
formulation,y_preferred,label_source,str,54,3.22,False,False,label_source,False
formulation,y_needs_review,label_source,bool,1675,100.0,False,False,label_source,False
formulation,y_conflict_evidence,label_source,str,99,5.91,False,False,label_source,False
formulation,sds_ghs_eye,label_source,str,233,13.91,False,False,label_source,False
formulation,sds_ghs_eye_src,provenance,str,233,13.91,False,False,provenance,False
formulation,sds_epa_eye,label_source,float64,231,13.79,False,False,label_source,False
formulation,sds_epa_eye_roman,label_source,str,231,13.79,False,False,label_source,False
formulation,sds_epa_eye_ambiguous,feature,bool,1675,100.0,True,False,bookkeeping,True
formulation,sds_grade_status_eye,label_source,str,1675,100.0,False,False,label_source,False
formulation,sds_ghs_skin,label_source,str,193,11.52,False,False,label_source,False
formulation,sds_ghs_skin_src,provenance,str,193,11.52,False,False,provenance,False
formulation,sds_epa_skin,label_source,float64,33,1.97,False,False,label_source,False
formulation,sds_epa_skin_roman,label_source,str,33,1.97,False,False,label_source,False
formulation,sds_epa_skin_ambiguous,feature,bool,1675,100.0,True,False,bookkeeping,True
formulation,sds_grade_status_skin,label_source,str,1675,100.0,False,False,label_source,False
formulation,sds_ghs_sens,label_source,str,184,10.99,False,False,label_source,False
formulation,sds_ghs_sens_src,provenance,str,184,10.99,False,False,provenance,False
formulation,sds_grade_status_sens,label_source,str,1675,100.0,False,False,label_source,False
formulation,ghs_cat_eye_irritation,label_source,str,129,7.7,False,False,label_source,False
formulation,ghs_cat_eye_corrosion,label_source,str,101,6.03,False,False,label_source,False
formulation,ghs_cat_skin_irritation,label_source,float64,134,8.0,False,False,label_source,False
formulation,ghs_cat_skin_corrosion,label_source,str,41,2.45,False,False,label_source,False
formulation,ghs_cat_skin_sensitization,label_source,str,160,9.55,False,False,label_source,False
formulation,ice_n_ingredients,feature,int64,1675,100.0,True,False,bookkeeping,True
formulation,ice_n_smiles,feature,int64,1675,100.0,True,False,bookkeeping,True
formulation,ice_ingredient_names,feature,str,1399,83.52,False,False,chemistry,False
formulation,ice_ingredient_cas,feature,str,1399,83.52,False,False,chemistry,False
formulation,ice_ingredient_smiles,feature,str,1346,80.36,False,False,chemistry,False
formulation,ice_ingredient_pct,feature,str,1350,80.6,False,False,chemistry,False
formulation,ice_active_pct_sum,feature,float64,1350,80.6,True,False,ambiguous,True
formulation,ice_src,provenance,str,1399,83.52,False,False,provenance,False
formulation,ntp_ld50_oral,label_source,float64,544,32.48,False,False,label_source,False
formulation,ntp_ld50_oral_unit,label_source,str,544,32.48,False,False,label_source,False
formulation,ntp_ld50_oral_modifier,label_source,str,341,20.36,False,False,label_source,False
formulation,ntp_ld50_dermal,label_source,float64,555,33.13,False,False,label_source,False
formulation,ntp_ld50_dermal_unit,label_source,str,555,33.13,False,False,label_source,False
formulation,ntp_ld50_dermal_modifier,label_source,str,542,32.36,False,False,label_source,False
formulation,ntp_lc50_inhalation,label_source,float64,438,26.15,False,False,label_source,False
formulation,ntp_lc50_inhalation_unit,label_source,str,438,26.15,False,False,label_source,False
formulation,ntp_lc50_inhalation_modifier,label_source,str,250,14.93,False,False,label_source,False
formulation,ntp_epa_acute_oral_cat,label_source,float64,659,39.34,False,False,label_source,False
formulation,ntp_epa_acute_dermal_cat,label_source,float64,562,33.55,False,False,label_source,False
formulation,ntp_epa_acute_inhalation_cat,label_source,float64,480,28.66,False,False,label_source,False
formulation,ghs_eye_irritation,label_source,str,954,56.96,False,False,label_source,False
formulation,ghs_eye_corrosion,label_source,str,954,56.96,False,False,label_source,False
formulation,ghs_skin_irritation,label_source,str,954,56.96,False,False,label_source,False
formulation,ghs_skin_corrosion,label_source,str,954,56.96,False,False,label_source,False
formulation,ghs_skin_sensitization,label_source,str,954,56.96,False,False,label_source,False
formulation,ghs_h_statements,label_source,str,890,53.13,False,False,label_source,False
formulation,ghs_signal_word,label_source,str,925,55.22,False,False,label_source,False
formulation,ghs_n_positive,label_source,float64,954,56.96,False,False,label_source,False
formulation,ghs_n_ing_with_data,label_source,float64,954,56.96,False,False,label_source,False
formulation,ghs_n_ing_total,label_source,float64,954,56.96,False,False,label_source,False
formulation,has_ghs_label,feature,bool,1675,100.0,True,False,bookkeeping,True
