sheet,key,fid,ep,name,cur,quote,doc,no,has_pdf
A,T1,EyeIrritation6pack_PID838,눈자극,S-Metolachlor & Mesotrione,2B,ntp_measured=2B / sds_v1=NC / sds_2nd_sec11=2B,formulation_audit_team_share_highlighted_only_20260630/ingredient_source_audit/highlighted/f7d0674de986bc8f_highlighted.pdf,16,True
A,T1,EyeIrritation6pack_PID860,눈자극,Scimitar GR Insecticide,2B,ntp_measured=2B / sds_v1=NC / sds_2nd_sec11=2B,formulation_audit_team_share_highlighted_only_20260630/ingredient_source_audit/highlighted/ec7e9870eec92980_highlighted.pdf,17,True
A,T1,EyeIrritation6pack_PID960,눈자극,Tempo 0.1 Granular Insecticide,2B,ntp_measured=2B / sds_v1=NC / sds_2nd_sec11=NC,formulation_audit_team_share_highlighted_only_20260630/ingredient_source_audit/highlighted/ff0ebd75d0a64547_highlighted.pdf,18,True
A,T1,EyeIrritation6pack_PID978,눈자극,Three Way Peanut Seed Treatment Fungicide,2B,ntp_measured=2B / sds_v1=NC / sds_2nd_sec11=NC,formulation_audit_team_share_highlighted_only_20260630/ingredient_source_audit/highlighted/3726b4e8435ad177_highlighted.pdf,19,True
A,T1,MIX342,피부자극,Nemathorin 500EC,2B,ntp_measured=2B / sds_v1=NC / sds_2nd_sec11=NC,formulation_audit_team_share_highlighted_only_20260630/ingredient_source_audit/highlighted/64126d32834644ab_highlighted.pdf,20,True
A,T1,MIX378,피부자극,Raid Ant & Roach Killer with Germ Kill CIK,2A,ntp_measured=2A / sds_v1=NC / sds_2nd_sec11=NC,formulation_audit_team_share_highlighted_only_20260630/ingredient_source_audit/highlighted/67317f1d65d94142_highlighted.pdf,21,True
A,T1,MIX54,피부자극,BAS 500 F Manufacturing Use Product,2B,ntp_measured=2B / sds_v1=NC,formulation_audit_team_share_highlighted_only_20260630/ingredient_source_audit/highlighted/5758adb4093a53cb_highlighted.pdf,22,True
A,T2,EyeIrritation6pack_PID1039,눈자극,Vitacon RTU FL Fungicide,NC,ntp_measured=NC / sds_v1=NC / sds_2nd_sec11=2B,formulation_audit_team_share_highlighted_only_20260630/ingredient_source_audit/highlighted/fd2ea4ca4e1f1268_highlighted.pdf,23,True
A,T2,MIX142,눈자극,Decis 1.0 Gel,NC,sds_v1=NC / sds_2nd_sec11=1,formulation_audit_team_share_highlighted_only_20260630/ingredient_source_audit/highlighted/417529ce078df58e_highlighted.pdf,24,True
A,T2,MIX217,눈자극,Folicur 1. 2 emulsifiable concentrate(16.6),NC,sds_v1=NC / sds_2nd_sec11=1,formulation_audit_team_share_highlighted_only_20260630/ingredient_source_audit/ordered_option_runs/highlighted_sources/G039_107534-96-3_ChemBlink_Sigma_highlighted.pdf,25,True
A,T2,MIX23,눈자극,Acephate,NC,sds_v1=NC / sds_2nd=2A / sds_2nd_sec11=2A,formulation_audit_team_share_highlighted_only_20260630/ingredient_source_audit/highlighted/e24b8e39082df840_highlighted.pdf,26,True
A,T2,MIX345,눈자극,NEU1171H,NC,sds_v1=NC / sds_2nd_sec11=2A,formulation_audit_team_share_highlighted_only_20260630/ingredient_source_audit/highlighted/0504e3ad50d63ff1_highlighted.pdf,27,True
A,T2,MIX42,눈자극,Aminopyralid,NC,sds_v1=NC / sds_2nd=1 / sds_2nd_sec11=1,formulation_audit_team_share_highlighted_only_20260630/ingredient_source_audit/highlighted/2ba9cc637fd8a601_highlighted.pdf,28,True
A,T2,MIX434,눈자극,Scimitar GR Insecticide,NC,sds_v1=NC / sds_2nd_sec11=2B,formulation_audit_team_share_highlighted_only_20260630/ingredient_source_audit/highlighted/ec7e9870eec92980_highlighted.pdf,29,True
A,T2,MIX447,눈자극,S-Metolachlor & Mesotrione,NC,sds_v1=NC / sds_2nd_sec11=2B,formulation_audit_team_share_highlighted_only_20260630/ingredient_source_audit/highlighted/f7d0674de986bc8f_highlighted.pdf,30,True
A,T2,MIX527,눈자극,Vitacon RTU FL Fungicide,NC,sds_v1=NC / sds_2nd_sec11=2B,formulation_audit_team_share_highlighted_only_20260630/ingredient_source_audit/highlighted/fd2ea4ca4e1f1268_highlighted.pdf,31,True
A,T2,MIX670,눈자극,Bifenthrin 0.069 RU Insecticide With X-X-X Fertilizer,NC,sds_v1=NC / sds_2nd=2A / sds_2nd_sec11=2A,formulation_audit_team_share_highlighted_only_20260630/ingredient_source_audit/highlighted/c2a5d1d533d1d7dc_highlighted.pdf,32,True
A,T2,MIX701,눈자극,NEUl l 71H RTU,NC,sds_v1=NC / sds_2nd=1 / sds_2nd_sec11=1,formulation_audit_team_share_highlighted_only_20260630/ingredient_source_audit/highlighted/fef9f862170fcdc4_highlighted.pdf,33,True
A,T2,MIX759,눈자극,F6141 EW Insecticide,NC,sds_v1=NC / sds_2nd=2A / sds_2nd_sec11=2A,formulation_audit_team_share_highlighted_only_20260630/ingredient_source_audit/highlighted/bcabb1bf65fff64c_highlighted.pdf,34,True
A,T2,MIX810,눈자극,"Mixture of: diethyl cis-1,4-cyclohexanedicarboxylate; diethyl trans-1,4-cyclohexanedicarboxylate",NC,sds_v1=NC / sds_2nd=2A / sds_2nd_sec11=2A,formulation_audit_team_share_highlighted_only_20260630/ingredient_source_audit/highlighted/aeb8b80ea8f83fdb_highlighted.pdf,35,True
A,T2,MIX914,눈자극,Cardamom oil,NC,sds_v1=NC / phase1_sds=2A,formulation_audit_team_share_highlighted_only_20260630/ingredient_source_audit/highlighted/bc72d8d1be4a4024_highlighted.pdf,36,True
A,T2,MIX1024,피부자극,Bay oil,NC,sds_v1=NC / sds_2nd=2 / sds_2nd_sec11=2,,37,False
A,T2,MIX670,피부자극,Bifenthrin 0.069 RU Insecticide With X-X-X Fertilizer,NC,sds_v1=NC / sds_2nd=2 / sds_2nd_sec11=2,formulation_audit_team_share_highlighted_only_20260630/ingredient_source_audit/highlighted/c2a5d1d533d1d7dc_highlighted.pdf,38,True
A,T2,MIX701,피부자극,NEUl l 71H RTU,NC,sds_v1=NC / sds_2nd=2 / sds_2nd_sec11=2,formulation_audit_team_share_highlighted_only_20260630/ingredient_source_audit/highlighted/fef9f862170fcdc4_highlighted.pdf,39,True
A,T2,MIX794,피부자극,Oleic/caprylic acid,NC,sds_v1=NC / sds_2nd=1,formulation_audit_team_share_highlighted_only_20260630/ingredient_source_audit/ordered_option_runs/highlighted_sources/G013_112-80-1_ChemBlink_Sigma_highlighted.pdf,40,True
A,T2,MIX810,피부자극,"Mixture of: diethyl cis-1,4-cyclohexanedicarboxylate; diethyl trans-1,4-cyclohexanedicarboxylate",NC,sds_v1=NC / sds_2nd=2 / sds_2nd_sec11=2,formulation_audit_team_share_highlighted_only_20260630/ingredient_source_audit/highlighted/aeb8b80ea8f83fdb_highlighted.pdf,41,True
A,T2,MIX811,피부자극,"Mixture of isomers: 1-(1,1-dimethylpropyl)-4-ethoxy-cis-cyclohexane; 1-(1,1-dimethylpropyl)-4-ethoxy-trans-cyclohexane",NC,sds_v1=NC / sds_2nd=2 / sds_2nd_sec11=2,formulation_audit_team_share_highlighted_only_20260630/ingredient_source_audit/highlighted/aeb8b80ea8f83fdb_highlighted.pdf,42,True
A,T2,MIX914,피부자극,Cardamom oil,NC,sds_v1=NC / phase1_sds=2,formulation_audit_team_share_highlighted_only_20260630/ingredient_source_audit/highlighted/bc72d8d1be4a4024_highlighted.pdf,43,True
A,T2,MIX1024,피부감작성,Bay oil,NC,sds_v1=NC / sds_2nd_sec11=1,,44,False
A,T2,MIX1047,피부감작성,Hibawood oil,NC,sds_v1=NC / sds_2nd=1 / sds_2nd_sec11=1,formulation_audit_team_share_highlighted_only_20260630/ingredient_source_audit/ordered_option_runs/highlighted_sources/G061_499-44-5_ChemBlink_Sigma_highlighted.pdf,45,True
A,T2,MIX329,피부감작성,Mon 58416,NC,sds_v1=NC / phase1_sds=1,formulation_audit_team_share_highlighted_only_20260630/ingredient_source_audit/ordered_option_runs/highlighted_sources/G022_sigma_mirror_sds_pdf_3a705fd60f882a03_highlighted.pdf,46,True
A,T2,MIX759,피부감작성,F6141 EW Insecticide,NC,sds_v1=NC / sds_2nd=1 / sds_2nd_sec11=1B,formulation_audit_team_share_highlighted_only_20260630/ingredient_source_audit/highlighted/bcabb1bf65fff64c_highlighted.pdf,47,True
A,T2,MIX938,피부감작성,Foin absolute,NC,sds_v1=NC / sds_2nd=1 / sds_2nd_sec11=1,formulation_audit_team_share_highlighted_only_20260630/ingredient_source_audit/highlighted/9ab31b9b102d6f04_highlighted.pdf,48,True
