Formulation_ID,group_key,group_primary_cas,group_primary_name,group_key_v4,group_primary_cas_v4
EyeIrritation6pack_PID32,Name : Abamectin techn. min,,Name : Abamectin techn. min,71751-41-2,71751-41-2
EyeIrritation6pack_PID494,577-11-7,577-11-7,spinosad (ISO) (reaction mass of,168316-95-8,168316-95-8
EyeIrritation6pack_PID500,577-11-7,577-11-7,spinosad (ISO) (reaction mass of,168316-95-8,168316-95-8
EyeIrritation6pack_PID955,872-50-4,872-50-4,Active ingredient (% w/w): Tebuconazole Technical,107534-96-3,107534-96-3
MIX1048,Diethylene Glycol Monobutyl Ether,,Diethylene Glycol Monobutyl Ether,112-34-5,112-34-5
MIX1052,80-56-8,80-56-8,"Limonene, (-)-",90028-76-5,90028-76-5
MIX155,858956-35-1,858956-35-1,Inert Ingredients,858956-08-8,858956-08-8
