대표,단위,endpoint,관할,피처,결측처리,CT,n,양성,유병률,roc_auc,roc_auc_sd,pr_auc,pr_auc_sd,f1_pos,f1_pos_sd,f1_neg,f1_macro,precision,recall,specificity,MCC,BA,accuracy,tp,fp,fn,tn,F1_최적임계값_참고_seed4,최적임계값_참고_seed4,f1_neg_sd,f1_macro_sd,precision_sd,recall_sd,specificity_sd,MCC_sd,BA_sd,accuracy_sd
0,제형,eye,EU_CLP,제형집계+물성+CT,native_복원,CT_A0,1044,386,0.3697,0.7509,0.0034,0.6659,0.0081,0.6041,0.0054,0.797,0.7005,0.6647,0.5539,0.8359,0.4076,0.6949,0.7316,213.8,108.0,172.2,550.0,0.6358,0.325,0.0053,0.0046,0.0128,0.0099,0.0115,0.0102,0.0041,0.0053
0,제형,eye,EU_CLP,제형집계+물성+CT,native_복원,CT_권고,1044,386,0.3697,0.7634,0.0057,0.681,0.0094,0.621,0.0076,0.805,0.713,0.6814,0.5705,0.8435,0.4322,0.707,0.7425,220.2,103.0,165.8,555.0,0.6417,0.402,0.0034,0.0052,0.0076,0.0107,0.0058,0.01,0.0052,0.0044
0,제형,skin,UN_GHS,제형집계+물성+CT,nan0,CT_A0,615,371,0.6033,0.6882,0.0093,0.7567,0.0126,0.7433,0.0091,0.5477,0.6455,0.7051,0.786,0.5,0.2982,0.643,0.6725,291.6,122.0,79.4,122.0,0.7844,0.316,0.0176,0.0129,0.0095,0.0123,0.0203,0.0255,0.0125,0.0116
0,제형,skin,UN_GHS,제형집계+물성+CT,nan0,CT_권고,615,371,0.6033,0.7334,0.0064,0.7875,0.0064,0.7679,0.0065,0.5881,0.678,0.7267,0.814,0.5344,0.3642,0.6742,0.7031,302.0,113.6,69.0,130.4,0.7906,0.366,0.013,0.0094,0.0071,0.0087,0.0155,0.0184,0.0091,0.0083
0,제형,skin,UN_GHS,제형집계+물성+CT,native,CT_A0,615,371,0.6033,0.6992,0.0116,0.7633,0.0155,0.7477,0.0067,0.5527,0.6502,0.7078,0.7925,0.5025,0.3082,0.6475,0.6774,294.0,121.4,77.0,122.6,0.7875,0.383,0.0116,0.0084,0.0061,0.0113,0.0147,0.017,0.0081,0.0078
0,제형,skin,UN_GHS,제형집계+물성+CT,native,CT_권고,615,371,0.6033,0.735,0.0107,0.7899,0.0097,0.7659,0.0115,0.5916,0.6788,0.7289,0.807,0.5434,0.3641,0.6752,0.7024,299.4,111.4,71.6,132.6,0.7903,0.336,0.0218,0.0164,0.0119,0.0133,0.0231,0.0326,0.0159,0.0149
0,제형,skin,UN_GHS,제형집계+물성+CT,native_복원,CT_A0,615,371,0.6033,0.7004,0.0112,0.7616,0.0175,0.7447,0.0121,0.552,0.6484,0.7072,0.7865,0.5049,0.3036,0.6457,0.6748,291.8,120.8,79.2,123.2,0.7849,0.352,0.016,0.0139,0.0088,0.017,0.0128,0.0289,0.0133,0.0139
0,제형,skin,UN_GHS,제형집계+물성+CT,native_복원,CT_권고,615,371,0.6033,0.7357,0.0101,0.7907,0.0096,0.7652,0.0076,0.5915,0.6784,0.7288,0.8054,0.5443,0.3629,0.6748,0.7018,298.8,111.2,72.2,132.8,0.7863,0.332,0.0113,0.0092,0.0061,0.0105,0.0106,0.019,0.0089,0.009
0,제형,skin,EU_CLP+K_REACH+US_OSHA,제형집계+물성+CT,nan0,CT_A0,1059,356,0.3362,0.7547,0.0085,0.6393,0.0055,0.5635,0.0124,0.8041,0.6838,0.6163,0.5191,0.8361,0.3726,0.6776,0.7296,184.8,115.2,171.2,587.8,0.5931,0.298,0.0075,0.0097,0.0192,0.011,0.0118,0.0204,0.0089,0.0094
0,제형,skin,EU_CLP+K_REACH+US_OSHA,제형집계+물성+CT,nan0,CT_권고,1059,356,0.3362,0.7697,0.0041,0.645,0.0046,0.5725,0.0115,0.8078,0.6902,0.6252,0.5281,0.8395,0.3852,0.6838,0.7348,188.0,112.8,168.0,590.2,0.6213,0.349,0.0065,0.0088,0.0163,0.0099,0.0095,0.0183,0.0082,0.0083
0,제형,skin,EU_CLP+K_REACH+US_OSHA,제형집계+물성+CT,native,CT_A0,1059,356,0.3362,0.7612,0.0071,0.6481,0.0047,0.5561,0.0066,0.8034,0.6797,0.6146,0.5079,0.8387,0.3655,0.6733,0.7275,180.8,113.4,175.2,589.6,0.6057,0.298,0.0025,0.004,0.0064,0.0098,0.0052,0.0077,0.0041,0.0032
0,제형,skin,EU_CLP+K_REACH+US_OSHA,제형집계+물성+CT,native,CT_권고,1059,356,0.3362,0.7754,0.0031,0.656,0.0051,0.5804,0.0046,0.8126,0.6965,0.6371,0.5331,0.8461,0.3985,0.6896,0.7409,189.8,108.2,166.2,594.8,0.6338,0.338,0.0038,0.0037,0.0104,0.0075,0.008,0.0082,0.0033,0.0041
0,제형,skin,EU_CLP+K_REACH+US_OSHA,제형집계+물성+CT,native_복원,CT_A0,1059,356,0.3362,0.7619,0.0062,0.6472,0.005,0.566,0.0084,0.8075,0.6868,0.6249,0.5174,0.8427,0.3796,0.68,0.7333,184.2,110.6,171.8,592.4,0.6022,0.347,0.0041,0.0057,0.0104,0.011,0.0074,0.0115,0.0055,0.0051
1,제형,skin,EU_CLP+K_REACH+US_OSHA,제형집계+물성+CT,native_복원,CT_권고,1059,356,0.3362,0.7726,0.0041,0.6538,0.005,0.5751,0.0092,0.8097,0.6924,0.6299,0.5292,0.8424,0.39,0.6858,0.7371,188.4,110.8,167.6,592.2,0.6193,0.33,0.0053,0.007,0.0134,0.0102,0.0088,0.0144,0.0065,0.0066
