train_group_frac,approx_n_train,roc_auc,roc_auc_sd,f1,balanced_accuracy,n_folds
0.2,184,0.5593134223631231,0.05586433634674215,0.7056718692755679,0.5500984006257816,25
0.4,369,0.6171193968235968,0.04726953477216939,0.7242022002500462,0.577855440754173,25
0.6,553,0.6183941814354311,0.04761167260174195,0.7254034172527232,0.5690742016627349,25
0.8,738,0.6187560437730313,0.04930474993925548,0.7347221680062312,0.5800645103311444,25
1.0,922,0.6407812267141173,0.044671824546622683,0.739013559613271,0.5898835253562236,25
