y_eye_src,n,prevalence,dummy_mf_f1_within_stratum,roc_auc,pr_auc,f1_majority_vote,balanced_accuracy_majority_vote,mcc_majority_vote
ntp_measured,608,0.6414473684210527,0.781563126252505,0.6482004234297812,0.7440200640521176,0.7651775486827033,0.5864620089390731,0.20520469650425607
phase1_sds,22,0.22727272727272727,0.0,0.6,0.5596904024767801,0.375,0.5647058823529412,0.10846522890932808
sds_2nd,127,0.8346456692913385,0.9098712446351931,0.8115453728661277,0.9497905494978718,0.8768472906403941,0.7293351302785265,0.40115911782055685
sds_2nd_sec11,106,0.29245283018867924,0.0,0.6043010752688173,0.4314723236854682,0.43010752688172044,0.5425806451612903,0.07861972649647704
sds_v1,290,0.6241379310344828,0.7685774946921444,0.5789953875006336,0.7067269481492233,0.71,0.5390541841958538,0.08798302112717082
