variant,roc_auc,roc_auc_sd,pr_auc,pr_auc_sd,f1,f1_sd,balanced_accuracy,balanced_accuracy_sd,mcc,mcc_sd,dummy_mf_f1,dummy_mf_f1_sd,dummy_mf_balanced_accuracy,dummy_mf_balanced_accuracy_sd,dummy_mf_mcc,dummy_mf_mcc_sd,prevalence,prevalence_sd,noinfo_roc_auc,noinfo_roc_auc_sd,noinfo_pr_auc,noinfo_pr_auc_sd,noinfo_f1_all_positive,noinfo_f1_all_positive_sd,noinfo_f1_random_at_p,noinfo_f1_random_at_p_sd,noinfo_balanced_accuracy,noinfo_balanced_accuracy_sd,noinfo_mcc,noinfo_mcc_sd,fold_roc_auc_sd,n,n_pos,n_groups,n_features,seeds
all_labelled,0.6387495218666327,0.00974639187500098,0.7276684161386593,0.012142875677813726,0.7396737583201468,0.008310009535741144,0.589798227718985,0.00960403786381923,0.20152972248917922,0.022703560642070457,0.7642015005359056,0.0,0.5,0.0,0.0,0.0,0.6183868169991327,0.0,0.5,0.0,0.6183868169991327,0.0,0.7642015005359056,0.0,0.6183868169991327,0.0,0.5,0.0,0.0,0.0,0.044671824546622683,1153,713,477,221,"[0, 1, 2, 3, 4]"
tier_NONE_only,0.7086163328197227,0.00719800855495095,0.8285048862176925,0.006242263595547052,0.7939758217308203,0.005697698248485808,0.6132735677265723,0.009858591868983704,0.26026300654519163,0.022381615965290844,0.8039867109634551,1.2412670766236366e-16,0.5,0.0,0.0,0.0,0.6722222222222223,0.0,0.5,0.0,0.6722222222222223,0.0,0.8039867109634551,1.2412670766236366e-16,0.6722222222222223,0.0,0.5,0.0,0.0,0.0,0.045902296763834595,900,605,412,221,"[0, 1, 2, 3, 4]"
drop_recovered_flip_ctcontra,0.6956085104130831,0.0053785342591366235,0.8365323822136098,0.0030997822189200485,0.807920762678531,0.006845785176512701,0.6052065415861758,0.011736452133819785,0.25050855352755874,0.027820770211856034,0.8176605504587154,1.2412670766236366e-16,0.5,0.0,0.0,0.0,0.6915615906886518,0.0,0.5,0.0,0.6915615906886518,0.0,0.8176605504587154,1.2412670766236366e-16,0.6915615906886518,0.0,0.5,0.0,0.0,0.0,0.04351724267902357,1031,713,441,221,"[0, 1, 2, 3, 4]"
drop_source_conflict,0.652557226945716,0.007963897034856785,0.7194838234185289,0.008966772329631546,0.7231434920009663,0.00960782282181305,0.6007194244604317,0.013617012551605811,0.21995921091008044,0.029073050915450725,0.743700061462815,0.0,0.5,0.0,0.0,0.0,0.5919765166340509,0.0,0.5,0.0,0.5919765166340509,0.0,0.7437000614628151,0.0,0.5919765166340509,0.0,0.5,0.0,0.0,0.0,0.04724841346516875,1022,605,454,221,"[0, 1, 2, 3, 4]"
