group,n,positive_rate,n_ingredients_mean,n_ingredients_median,f_smiles_coverage_mean,f_smiles_coverage_median,f_pct_with_structure_mean,f_pct_with_structure_median,ph_best_mean,ph_best_median,f_pct_active_mean,f_pct_active_median,f_pct_surf_total_mean,f_pct_surf_total_median,f_max_pct_mean,f_max_pct_median,f_ct_eye_coverage_mean,f_ct_eye_coverage_median,f_ct_eye_ord_mean,f_ct_eye_ord_median,f_pct_water_mean,f_pct_water_median
always_wrong(5/5),301,0.2425249169435216,2.993355481727575,2.0,0.6640198256892609,0.6666666666666666,37.05032847490347,25.8,6.1693684210526305,6.5,39.671466409266415,25.0,0.28970431893687704,0.0,45.88040463320463,35.52,0.2100463892149652,0.0,0.3712121212121212,0.0,0.8649420849420849,0.0
always_right(0/5),616,0.827922077922078,3.1201298701298703,2.0,0.7086318503526295,0.8181818181818182,40.12875692307693,30.69,6.001853658536586,5.72,38.13166730769231,25.2,0.7118409090909091,0.0,44.96401442307692,38.625,0.22949185670392833,0.0,0.7570422535211268,0.0,0.3388653846153846,0.0
all,1153,0.6183868169991327,2.9418907198612314,2.0,0.6756140682419953,0.75,37.600943782518215,27.0,5.993076923076924,6.0,39.701260041623314,26.4,0.46561578490893324,0.0,45.522368782518214,37.5,0.226140104038957,0.0,0.5505836575875487,0.0,0.43,0.0
