y_eye_src,roc_auc,roc_auc_sd,pr_auc,pr_auc_sd,f1,f1_sd,balanced_accuracy,balanced_accuracy_sd,mcc,mcc_sd,dummy_mf_f1,dummy_mf_f1_sd,dummy_mf_balanced_accuracy,dummy_mf_balanced_accuracy_sd,dummy_mf_mcc,dummy_mf_mcc_sd,prevalence,prevalence_sd,noinfo_roc_auc,noinfo_roc_auc_sd,noinfo_pr_auc,noinfo_pr_auc_sd,noinfo_f1_all_positive,noinfo_f1_all_positive_sd,noinfo_f1_random_at_p,noinfo_f1_random_at_p_sd,noinfo_balanced_accuracy,noinfo_balanced_accuracy_sd,noinfo_mcc,noinfo_mcc_sd,fold_roc_auc_sd,n,n_pos,n_groups,n_features,seeds,note
ntp_measured,0.6381392613502704,0.006781563822644734,0.7383162699209743,0.006857973402824966,0.7761820325470461,0.005406327749736721,0.5808680310515173,0.004794325364195924,0.2097884793426857,0.01340240753444463,0.781563126252505,0.0,0.5,0.0,0.0,0.0,0.6414473684210527,0.0,0.5,0.0,0.6414473684210527,0.0,0.781563126252505,0.0,0.6414473684210527,0.0,0.5,0.0,0.0,0.0,0.0474820494703091,608,390.0,273.0,221.0,"[0, 1, 2, 3, 4]",
sds_v1,0.5701099903695068,0.020127829036111194,0.6914879555867672,0.020357943040735144,0.7011156448755103,0.016633278508410124,0.5377312585533985,0.02538141125783983,0.08240660530623409,0.05610012192363746,0.7685774946921444,0.0,0.5,0.0,0.0,0.0,0.6241379310344828,0.0,0.5,0.0,0.6241379310344828,0.0,0.7685774946921444,0.0,0.6241379310344828,0.0,0.5,0.0,0.0,0.0,0.07594619225664209,290,181.0,197.0,221.0,"[0, 1, 2, 3, 4]",
sds_2nd,0.7320305480682839,0.014128642277007001,0.8980129664137759,0.01421569465246435,0.8730541710887507,0.009582807408240222,0.7503593890386344,0.01040129986622699,0.42549881469347256,0.020791429326484867,0.9098712446351931,0.0,0.5,0.0,0.0,0.0,0.8346456692913385,0.0,0.5,0.0,0.8346456692913385,0.0,0.9098712446351932,0.0,0.8346456692913385,0.0,0.5,0.0,0.0,0.0,0.16625650216824986,127,106.0,109.0,221.0,"[0, 1, 2, 3, 4]",
sds_2nd_sec11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106,,,,,표본<120 — 스킵
phase1_sds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,,,,표본<120 — 스킵
