Formulation_ID,endpoint,reason
EyeIrritation6pack_PID1060,sens,sds_grade_status=negative but y is NaN
EyeIrritation6pack_PID168,sens,sds_grade_status=negative but y is NaN
EyeIrritation6pack_PID220,sens,sds_grade_status=negative but y is NaN
EyeIrritation6pack_PID222,sens,sds_grade_status=negative but y is NaN
EyeIrritation6pack_PID241,sens,sds_grade_status=negative but y is NaN
EyeIrritation6pack_PID246,sens,sds_grade_status=negative but y is NaN
EyeIrritation6pack_PID247,sens,sds_grade_status=negative but y is NaN
EyeIrritation6pack_PID299,sens,sds_grade_status=negative but y is NaN
EyeIrritation6pack_PID40,sens,sds_grade_status=negative but y is NaN
EyeIrritation6pack_PID422,sens,sds_grade_status=negative but y is NaN
EyeIrritation6pack_PID475,sens,sds_grade_status=negative but y is NaN
EyeIrritation6pack_PID516,sens,sds_grade_status=negative but y is NaN
EyeIrritation6pack_PID560,sens,sds_grade_status=negative but y is NaN
EyeIrritation6pack_PID642,sens,sds_grade_status=negative but y is NaN
EyeIrritation6pack_PID669,sens,sds_grade_status=negative but y is NaN
EyeIrritation6pack_PID680,sens,sds_grade_status=negative but y is NaN
EyeIrritation6pack_PID699,sens,sds_grade_status=negative but y is NaN
EyeIrritation6pack_PID743,sens,sds_grade_status=negative but y is NaN
EyeIrritation6pack_PID863,sens,sds_grade_status=negative but y is NaN
EyeIrritation6pack_PID865,sens,sds_grade_status=negative but y is NaN
EyeIrritation6pack_PID873,sens,sds_grade_status=negative but y is NaN
EyeIrritation6pack_PID916,sens,sds_grade_status=negative but y is NaN
EyeIrritation6pack_PID926,sens,sds_grade_status=negative but y is NaN
EyeIrritation6pack_PID932,sens,sds_grade_status=negative but y is NaN
EyeIrritation6pack_PID936,sens,sds_grade_status=negative but y is NaN
EyeIrritation6pack_PID940,sens,sds_grade_status=negative but y is NaN
EyeIrritation6pack_PID977,sens,sds_grade_status=negative but y is NaN
MIX1067,sens,sds_grade_status=negative but y is NaN
MIX111,sens,sds_grade_status=negative but y is NaN
MIX112,sens,sds_grade_status=negative but y is NaN
MIX114,sens,sds_grade_status=negative but y is NaN
MIX116,sens,sds_grade_status=negative but y is NaN
MIX140,sens,sds_grade_status=negative but y is NaN
MIX194,sens,sds_grade_status=negative but y is NaN
MIX227,sens,sds_grade_status=negative but y is NaN
MIX23,sens,sds_grade_status=negative but y is NaN
MIX249,sens,sds_grade_status=negative but y is NaN
MIX250,sens,sds_grade_status=negative but y is NaN
MIX294,sens,sds_grade_status=negative but y is NaN
MIX338,sens,sds_grade_status=negative but y is NaN
