Formulation_ID,Formulation_Name,Audit_Status,recommendation,priority,current_n_cas,current_n_smiles,current_n_ing,Formulation_Ingredients_CAS,Formulation_Ingredients_SMILES,Formulation_Ingredients_PubChem_CID,Audit_Issues
EyeIrritation6pack_PID659,MGK Formula 2976,MATCH,NO_ACTION,9,2,2,2,71751-41-2 | 95737-68-1,CC[C@H](C)[C@@H]1[C@H](C=C[C@@]2(O1)C[C@@H]3C[C@H](O2)C/C=C(/[C@H]([C@H](/C=C/C=C/4\CO[C@H]5[C@@]4([C@@H](C=C([C@H]5O)C)C(=O)O3)O)C)O[C@H]6C[C@@H]([C@H]([C@@H](O6)C)O[C@H]7C[C@@H]([C@H]([C@@H](O7)C)O)OC)OC)\C)C.C[C@H]1/C=C/C=C/2\CO[C@H]3[C@@]2([C@@H](C=C([C@H]3O)C)C(=O)O[C@H]4C[C@@H](C/C=C(/[C@H]1O[C@H]5C[C@@H]([C@H]([C@@H](O5)C)O[C@H]6C[C@@H]([C@H]([C@@H](O6)C)O)OC)OC)\C)O[C@]7(C4)C=C[C@@H]([C@H](O7)C(C)C)C)O | CC(COC1=CC=C(C=C1)OC2=CC=CC=C2)OC3=CC=CC=N3,9920327 | 91753,
EyeIrritation6pack_PID616,M920 Insecticide,MATCH,NO_ACTION,9,1,1,5,8002-74-2 | 80-62-6 | 25053-30-9 | 79-41-4,CC(=C)C(=O)OC | CC(=C)C(=O)O,6658 | 4093,
EyeIrritation6pack_PID360,DuPont Prequel Herbicide,MATCH,NO_ACTION,9,2,4,6,122931-48-0 | 141112-29-0,CCS(=O)(=O)C1=C(N=CC=C1)S(=O)(=O)NC(=O)NC2=NC(=CC(=N2)OC)OC | CS(=O)(=O)C1=C(C=CC(=C1)C(F)(F)F)C(=O)C2=C(ON=C2)C3CC3 | OP(=O)([O-])[O-].[Na+].[Na+],91779 | 84098 | 24203,
EyeIrritation6pack_PID610,LPI 6365-18 Fungicide,MATCH,NO_ACTION,9,3,3,3,7758-98-7 | 8062-15-5,[O-]S(=O)(=O)[O-].[Cu+2] | COC1=CC=CC(=C1O)CC(CS(=O)(=O)O)OC2=C(C=C(C=C2)CCCS(=O)(=O)O)OC,24462 | 24712,
EyeIrritation6pack_PID608,Lonza Formulation R-82,MATCH,NO_ACTION,9,3,3,6,68439-46-3 | 57-55-6 | 68585-34-2,CC(CO)O,1030,
EyeIrritation6pack_PID556,Intrepid 2F Agricultural Insecticide,MATCH,NO_ACTION,9,3,2,3,161050-58-4 | 57-55-6 | 78330-21-9,CC1=CC(=CC(=C1)C(=O)N(C(C)(C)C)NC(=O)C2=C(C(=CC=C2)OC)C)C | CC(CO)O,105010 | 1030,
EyeIrritation6pack_PID555,Insecticide TD Granule,MATCH,NO_ACTION,9,3,3,3,82657-04-3,CC1=C(C=CC=C1C2=CC=CC=C2)COC(=O)[C@@H]3[C@@H](C3(C)C)/C=C(/C(F)(F)F)\Cl,6442842,
EyeIrritation6pack_PID554,Initium Fungicide,MATCH,NO_ACTION,9,1,4,4,1897-45-6 | 57-55-6 | 112926-00-8,C(#N)C1=C(C(=C(C(=C1Cl)Cl)Cl)C#N)Cl | CC(CO)O | O=[Si]=O,15910 | 1030 | 24261,
EyeIrritation6pack_PID551,Imidan 60 WDG,EVIDENCE_WEAK,NO_ACTION,9,1,1,1,732-11-6,COP(=S)(OC)SCN1C(=O)C2=CC=CC=C2C1=O,12901,WORKBOOK_CAS_FOUND_OUTSIDE_SECTION_3
EyeIrritation6pack_PID55,AE 0172747,EVIDENCE_WEAK,NO_ACTION,9,1,1,1,335104-84-2,CS(=O)(=O)C1=C(C(=C(C=C1)C(=O)C2C(=O)CCCC2=O)Cl)COCC(F)(F)F,11556911,SECTION_3_NOT_FOUND
EyeIrritation6pack_PID549,"Imidacloprid + Tau-fluvalinate + Tebuconazole Ready-to-Use Insecticide, Miticide and Fungicide",EVIDENCE_WEAK,NO_ACTION,9,3,3,6,107534-96-3,CC(C)(C)C(CCC1=CC=C(C=C1)Cl)(CN2C=NC=N2)O,86102,WORKBOOK_CAS_FOUND_OUTSIDE_SECTION_3
EyeIrritation6pack_PID548,Imdaclpoprid-Vitavax-Metalaxyl Seed Treatment,MATCH,NO_ACTION,9,4,4,4,5234-68-4 | 107-21-1,CC1=C(SCCO1)C(=O)NC2=CC=CC=C2 | C(CO)O,21307 | 174,
EyeIrritation6pack_PID547,Imazosulfuron,MATCH,NO_ACTION,9,1,1,1,122548-33-8,COC1=CC(=NC(=N1)NC(=O)NS(=O)(=O)C2=C(N=C3N2C=CC=C3)Cl)OC,92433,
EyeIrritation6pack_PID546,IMA-Jet 10%,MATCH,NO_ACTION,9,1,1,1,138261-41-3,C1CN(/C(=N/[N+](=O)[O-])/N1)CC2=CN=C(C=C2)Cl,86287518,
EyeIrritation6pack_PID557,Ipconazole,MATCH,NO_ACTION,9,2,2,2,125225-28-7 | 56-81-5,CC(C)C1CCC(C1(CN2C=NC=N2)O)CC3=CC=C(C=C3)Cl | C(C(CO)O)O,86211 | 753,
EyeIrritation6pack_PID540,Hurricane WDG,MATCH,NO_ACTION,9,4,4,4,14808-60-7 | 61790-53-2 | 70630-17-0 | 69516-34-3 | 131341-86-1,,24261 | 11150163 | 156840 | 86398,
EyeIrritation6pack_PID538,Home Defense Max Perimeter Insect Killer Aerosol,SOURCE_UNAVAILABLE,NO_ACTION,9,2,1,2,2015-04-1,,,SOURCE_TEXT_EXTRACTION_FAILED: 
EyeIrritation6pack_PID536,HM-413A,MATCH,NO_ACTION,9,1,1,4,811-97-2 | 75-28-5,C(C(F)(F)F)F | CC(C)C,13129 | 6360,
EyeIrritation6pack_PID535,HM-2010,MATCH,NO_ACTION,9,1,3,3,67-56-1 | 87-90-1,CO | C1(=O)N(C(=O)N(C(=O)N1Cl)Cl)Cl,887 | 6909,
EyeIrritation6pack_PID533,Hero Insecticide,MATCH,NO_ACTION,9,9,6,9,82657-04-3 | 52315-07-8 | 64742-94-5 | 91-20-3 | 64-19-7,CC1=C(C=CC=C1C2=CC=CC=C2)COC(=O)[C@@H]3[C@@H](C3(C)C)/C=C(/C(F)(F)F)\Cl | CC1(C(C1C(=O)OC(C#N)C2=CC(=CC=C2)OC3=CC=CC=C3)C=C(Cl)Cl)C | C1=CC=C2C=CC=CC2=C1 | CC(=O)O,6442842 | 2912 | 931 | 176,
EyeIrritation6pack_PID530,Heat Powered by Kixor Herbicide,MATCH,NO_ACTION,9,3,5,5,372137-35-4 | 2682-20-4 | 2634-33-5,CC(C)N(C)S(=O)(=O)NC(=O)C1=CC(=C(C=C1Cl)F)N2C(=O)C=C(N(C2=O)C)C(F)(F)F | CN1C(=O)C=CS1 | C1=CC=C2C(=C1)C(=O)NS2,11571392 | 39800 | 17520,
EyeIrritation6pack_PID53,Adage Premier,MATCH,NO_ACTION,9,5,5,5,,,,
EyeIrritation6pack_PID529,Harness Xtra Herbicide,MATCH,NO_ACTION,9,3,3,3,34256-82-1 | 1912-24-9 | 121776-33-8,CCC1=CC=CC(=C1N(COCC)C(=O)CCl)C | CCNC1=NC(=NC(=N1)Cl)NC(C)C | CC1(N(CC(O1)C2=CC=CO2)C(=O)C(Cl)Cl)C,1988 | 2256 | 86187,
EyeIrritation6pack_PID523,Greenclean 6% Liquid,MATCH,NO_ACTION,9,3,3,3,15630-89-4,C(=O)([O-])[O-].C(=O)([O-])[O-].OO.OO.OO.[Na+].[Na+].[Na+].[Na+],159762,
EyeIrritation6pack_PID521,Graduate A+,MATCH,NO_ACTION,9,2,2,3,57-55-6 | 131860-33-8 | 131341-86-1,CC(CO)O | CO/C=C(\C1=CC=CC=C1OC2=NC=NC(=C2)OC3=CC=CC=C3C#N)/C(=O)OC | C1=CC(=C2C(=C1)OC(O2)(F)F)C3=CNC=C3C#N,1030 | 3034285 | 86398,
EyeIrritation6pack_PID54,Advantage Plus 20 for Dogs,MATCH,NO_ACTION,9,4,4,4,100-51-6 | 108-32-7 | 138261-41-3,C1=CC=C(C=C1)CO | CC1COC(=O)O1 | C1CN(/C(=N/[N+](=O)[O-])/N1)CC2=CN=C(C=C2)Cl,244 | 7924 | 86287518,
EyeIrritation6pack_PID558,Ipconazole Metalaxyl MD (S) Seed Treatment,MATCH,NO_ACTION,9,3,2,7,107-21-1 | 138261-41-3 | 64742-65-0 | 57837-19-1 | 125225-28-7,C(CO)O | C1CN(/C(=N/[N+](=O)[O-])/N1)CC2=CN=C(C=C2)Cl | CC1=C(C(=CC=C1)C)N(C(C)C(=O)OC)C(=O)COC | CC(C)C1CCC(C1(CN2C=NC=N2)O)CC3=CC=C(C=C3)Cl,174 | 86287518 | 42586 | 86211,
EyeIrritation6pack_PID559,Iprodione 4F Fungicide,EVIDENCE_WEAK,NO_ACTION,9,1,1,1,36734-19-7,CC(C)NC(=O)N1CC(=O)N(C1=O)C2=CC(=CC(=C2)Cl)Cl,37517,WORKBOOK_CAS_FOUND_OUTSIDE_SECTION_3
EyeIrritation6pack_PID560,Ironclad Herbicide,MATCH,NO_ACTION,9,3,2,3,64742-47-8,,,
EyeIrritation6pack_PID607,Lonza Formulation FC-600,SOURCE_UNAVAILABLE,NO_ACTION,9,1,1,1,7732-18-5,O,962,SOURCE_DOWNLOAD_FAILED: 404 Client Error: Not Found for url: https://bioscience.lonza.com/lonza_bs/KR/en/404
EyeIrritation6pack_PID602,Liberty ATZ Herbicide,MISMATCH,NO_ACTION,9,0,2,4,,CCNC1=NC(=NC(=N1)Cl)NC(C)C | CP(=O)(CCC(C(=O)O)N)O,2256 | 4794,SECTION_3_NOT_FOUND | WORKBOOK_INGREDIENT_NAMES_NOT_FOUND_IN_SOURCE
EyeIrritation6pack_PID601,Liberty 280 SL Herbicide,MATCH,NO_ACTION,9,5,4,5,77182-82-2 | 68585-34-2 | 107-98-2 | 25265-71-8 | 68515-73-1,CP(=O)(CCC(C(=O)[O-])N)O.[NH4+] | CC(COC)O | CC(CO)OC(C)CO.CC(COCC(C)O)O,53597 | 7900 | 134692469,
EyeIrritation6pack_PID600,LG Permethrin,MATCH,NO_ACTION,9,1,1,4,52645-53-1 | 70693-06-0,CC1(C(C1C(=O)OCC2=CC(=CC=C2)OC3=CC=CC=C3)C=C(Cl)Cl)C,40326,
EyeIrritation6pack_PID594,Lawn 3FL2 Herbicide GR,EVIDENCE_WEAK,NO_ACTION,9,4,4,4,317815-83-1,CC1=C(C(=CS1)C(=O)OC)S(=O)(=O)NC(=O)N2C(=O)N(C(=N2)OC)C,11205153,SECTION_3_NOT_FOUND
EyeIrritation6pack_PID593,Lawn 3FL Herbicide Ready-to-Use,MATCH,NO_ACTION,9,5,5,5,84087-01-4,C1=CC(=C(C2=NC=C(C=C21)Cl)C(=O)O)Cl,91739,
EyeIrritation6pack_PID592,Lawn 3FL Herbicide Granule,MATCH,NO_ACTION,9,6,6,6,2008-39-1 | 66423-09-4 | 2300-66-5,CNC.C1=CC(=C(C=C1Cl)Cl)OCC(=O)O | CC1=C(C=CC(=C1)Cl)O[C@H](C)C(=O)O.CNC | CNC.COC1=C(C=CC(=C1C(=O)O)Cl)Cl,16180 | 68515001 | 16811,
EyeIrritation6pack_PID59,Agita IGB Fly Bait,MATCH,NO_ACTION,9,2,2,2,153719-23-4,CN\1COCN(/C1=N/[N+](=O)[O-])CC2=CN=C(S2)Cl,5821911,
EyeIrritation6pack_PID585,Larvin Insecticide (UC51762),MATCH,NO_ACTION,9,4,4,5,59669-26-0 | 57-55-6 | 112926-00-8 | 2634-33-5,CC(=NOC(=O)N(C)SN(C)C(=O)ON=C(C)SC)SC | CC(CO)O | O=[Si]=O | C1=CC=C2C(=C1)C(=O)NS2,62155 | 1030 | 24261 | 17520,
EyeIrritation6pack_PID583,Larvin 500 Insecticide,MATCH,NO_ACTION,9,3,1,3,59669-26-0 | 26264-05-1 | 68425-94-5,CC(=NOC(=O)N(C)SN(C)C(=O)ON=C(C)SC)SC,62155,
EyeIrritation6pack_PID58,Agita 10 WG,MATCH,NO_ACTION,9,3,3,3,153719-23-4 | 68585-47-7,CN\1COCN(/C1=N/[N+](=O)[O-])CC2=CN=C(S2)Cl,5821911,
