Formulation_ID,raw_item,ph_lo,ph_hi,ph_basis,ph_basis_pct,strong_acid_gate,strong_base_gate
MIX59,"5.51 at 25 C, 1% aqueous solution (pH)",5.51,5.51,diluted,1.0,False,False
MIX592,"4-6 at 20 C, as aqueous suspension (pH)",4.0,6.0,other_condition,,False,False
MIX593,6 - 6.5 at 1% emulsion in water (pH),6.0,6.5,diluted,1.0,False,False
MIX595,"approx 6-8 at 1% dilution, 20 C (pH)",6.0,8.0,diluted,1.0,False,False
MIX600,7.03 at 25 C in 1% aqueous dispersion (pH),7.03,7.03,diluted,1.0,False,False
MIX603,7.0 (pH),7.0,7.0,unspecified,,False,False
MIX61,"6.5 - 8.0 at 100%, 23 C (pH)",6.5,8.0,neat,100.0,False,False
MIX62,4.5 at 1% solution (pH),4.5,4.5,diluted,1.0,False,False
MIX622,"4.9-6.1 at 100%, 23 C (pH)",4.9,6.1,neat,100.0,False,False
MIX623,7 - 8 (pH),7.0,8.0,unspecified,,False,False
MIX625,5.5 - 7.5 (pH),5.5,7.5,unspecified,,False,False
MIX628,8.3 (pH),8.3,8.3,unspecified,,False,False
MIX637,6.66 at 10 g/l (pH),6.66,6.66,other_condition,,False,False
MIX648,3 - 7 at 1% in deionized water (pH),3.0,7.0,diluted,1.0,False,False
MIX65,7.68 at 1% dispersion (pH),7.68,7.68,diluted,1.0,False,False
MIX651,7.17 at 1% w/w dilution in DIW (pH),7.17,7.17,diluted,1.0,False,False
MIX654,7 - 9 (pH),7.0,9.0,unspecified,,False,False
MIX661,3.9 (pH),3.9,3.9,unspecified,,False,False
MIX673,6-8 (pH),6.0,8.0,unspecified,,False,False
MIX674,7.5 - 9.5 (pH),7.5,9.5,unspecified,,False,False
MIX675,5 - 7 at 1% dispersion (pH),5.0,7.0,diluted,1.0,False,False
MIX676,8.8 (pH),8.8,8.8,unspecified,,False,False
MIX678,5.66 at 1% w/w dispersion in DIW (pH),5.66,5.66,diluted,1.0,False,False
MIX68,"approx. 2.5 - 4.5 at 1% m, 20 C (pH)",2.5,4.5,diluted,1.0,False,False
MIX682,4-8 at 10% suspension (pH),4.0,8.0,diluted,10.0,False,False
MIX683,7.5-9.5 (pH),7.5,9.5,unspecified,,False,False
MIX686,6.07 at 1% aq solution (pH),6.07,6.07,diluted,1.0,False,False
MIX689,7 (pH),7.0,7.0,unspecified,,False,False
MIX69,5.5 at 10 g/l at 23 C (pH),5.5,5.5,other_condition,,False,False
MIX690,"5-7 at aqueous solution 10 g/l, 20 C (pH)",5.0,7.0,other_condition,,False,False
MIX692,"2.5 at 10 g/L, 20 C (pH)",2.5,2.5,other_condition,,False,False
MIX693,9.4 at 1% aqueous solution (pH),9.4,9.4,diluted,1.0,False,False
MIX695,"2.5 at 20 C, 10 g/L aq sol (pH)",2.5,2.5,other_condition,,False,False
MIX696,"9.4 at 1% aqueous solution, 23.4 C (pH)",9.4,9.4,diluted,1.0,False,False
MIX699,"6.5-7.5 at ~1% in water, 25 C (pH)",6.5,7.5,diluted,1.0,False,False
MIX7,"6-8 at 1% m/m in water, 20 C, as a dispersion (pH)",6.0,8.0,diluted,1.0,False,False
MIX70,"approx. 3 - 5 at 1% m/m, approx. 20 C, as suspension (pH)",3.0,5.0,diluted,1.0,False,False
MIX704,"8.84 at 1% w/v dilution in water, 20 C (pH)",8.84,8.84,diluted,1.0,False,False
MIX706,6.6 at 1% dilution (pH),6.6,6.6,diluted,1.0,False,False
MIX709,6.5-7.1 (pH),6.5,7.1,unspecified,,False,False
MIX712,5.3 - 6.3 (pH),5.3,6.3,unspecified,,False,False
MIX714,6.5-7.5 (pH),6.5,7.5,unspecified,,False,False
MIX716,5.5 to 8 at 1% dispersion (pH),5.5,8.0,diluted,1.0,False,False
MIX718,"8.84 at 1% w/v in water, 20 C (pH)",8.84,8.84,diluted,1.0,False,False
MIX720,7 (pH),7.0,7.0,unspecified,,False,False
MIX743,"approx. 6.5 - 8.5 at 20 C, undiluted substance (pH)",6.5,8.5,neat,100.0,False,False
MIX747,6.77 (pH),6.77,6.77,unspecified,,False,False
MIX748,7.03 at 25 C in 1% aqueous dispersion (pH),7.03,7.03,diluted,1.0,False,False
MIX749,5.3 - 6.3 (pH),5.3,6.3,unspecified,,False,False
MIX750,5.3 (pH),5.3,5.3,unspecified,,False,False
MIX752,7 - 7.6 (pH),7.0,7.6,unspecified,,False,False
MIX756,6.9 (pH),6.9,6.9,unspecified,,False,False
MIX759,4.2 at 24.9 C (pH),4.2,4.2,other_condition,,False,False
MIX765,7.78 at 22 C (pH),7.78,7.78,other_condition,,False,False
MIX77,"approx. 5-7 at 1% m , 20 C (pH)",5.0,7.0,diluted,1.0,False,False
MIX773,"4.0 - 8.0 at 1% w/v, 20-25 C (pH)",4.0,8.0,diluted,1.0,False,False
MIX78,"3.2 at 1% solution in deionized H2O, 25 C (pH)",3.2,3.2,diluted,1.0,False,False
MIX786,7.5 (pH),7.5,7.5,unspecified,,False,False
MIX793,12.1 (pH),12.1,12.1,unspecified,,False,True
MIX802,0.5 (pH),0.5,0.5,unspecified,,True,False
MIX807,12-13 at 20 C (pH),12.0,13.0,other_condition,,False,True
MIX82,5.5-6.5 (pH),5.5,6.5,unspecified,,False,False
MIX822,11.3 as supplied (pH),11.3,11.3,neat,100.0,False,False
MIX83,6 - 9 at concentrated solution (pH),6.0,9.0,other_condition,,False,False
MIX833,4-7 (pH),4.0,7.0,unspecified,,False,False
MIX835,6.0-7.0 (pH),6.0,7.0,unspecified,,False,False
MIX837,7 (pH),7.0,7.0,unspecified,,False,False
MIX84,8.9 - 9.9 at 1% solution (pH),8.9,9.9,diluted,1.0,False,False
MIX840,11.0-11.6 (pH),11.0,11.6,unspecified,,False,True
MIX845,~6.9 (pH),6.9,6.9,unspecified,,False,False
MIX855,6.0 at 1% in water at 23 C (pH),6.0,6.0,diluted,1.0,False,False
MIX86,"7.9 at 1% w/v suspension, 26.8 C (pH)",7.9,7.9,diluted,1.0,False,False
MIX87,8.0 to 9.0 (pH),8.0,9.0,unspecified,,False,False
MIX89,3.1 at 20 C (pH),3.1,3.1,other_condition,,False,False
MIX91,6.8-7.1 (pH),6.8,7.1,unspecified,,False,False
MIX92,6.68 (pH),6.68,6.68,unspecified,,False,False
MIX925,4-5 (pH),4.0,5.0,unspecified,,False,False
MIX986,"~8 at 25 C, 1% w/w water (pH)",8.0,8.0,diluted,1.0,False,False
MIX998,2.0 to 7.0 (pH),2.0,7.0,unspecified,,True,False
