,eye,skin,묶음
f_ct_eye_cat_1,0.015066911019900995,0.003940490585657387,① 규칙 판정 (원-핫)
f_ct_eye_cat_2A,0.003987593269863032,0.004061104762483407,① 규칙 판정 (원-핫)
f_ct_eye_cat_NC,0.011368579284430455,0.007251217998455991,① 규칙 판정 (원-핫)
f_ct_eye_cat___NA__,0.008223350225673427,0.005140900702948889,① 규칙 판정 (원-핫)
f_ct_sens_cat_1,0.0037875049471307485,0.00491539269569176,① 규칙 판정 (원-핫)
f_ct_sens_cat_NC,0.011107632120524938,0.021336939989937492,① 규칙 판정 (원-핫)
f_ct_sens_cat___NA__,0.005815690322582538,0.003627779189324622,① 규칙 판정 (원-핫)
f_ct_skin_cat_1,0.001303080552955544,0.006863315341735185,① 규칙 판정 (원-핫)
f_ct_skin_cat_2,0.0028171450494701698,0.0036685146766696243,① 규칙 판정 (원-핫)
f_ct_skin_cat_NC,0.006644476261438196,0.00622476816645922,① 규칙 판정 (원-핫)
f_ct_skin_cat___NA__,0.004119876568588453,0.006452411002773839,① 규칙 판정 (원-핫)
ct_eye_ord,0.030044271885406558,0.01503779021389581,② 규칙 판정 (서수)
ct_sens_ord,0.013936614021571411,0.020581696999119273,② 규칙 판정 (서수)
ct_skin_ord,0.013942917198600488,0.023377218152440603,② 규칙 판정 (서수)
f_ct_eye_ord,0.03110435498539992,0.015322160537646939,② 규칙 판정 (서수)
f_ct_sens_ord,0.013072640491007998,0.021596324073078425,② 규칙 판정 (서수)
f_ct_skin_ord,0.013371483202518589,0.021985127427817712,② 규칙 판정 (서수)
f_ct_eye_add,0.09313743332607832,0.05737246324318053,③ 가산식 원값
f_ct_eye_s1,0.060646571146750226,0.030671792331533044,③ 가산식 원값
f_ct_eye_s2,0.0370177338093437,0.0384139314086584,③ 가산식 원값
f_ct_sens_add,0.04699686717105414,0.05534391861364372,③ 가산식 원값
f_ct_sens_s1,0.04704079206055348,0.05506884519851153,③ 가산식 원값
f_ct_skin_add,0.040286655337976575,0.06531306416640334,③ 가산식 원값
f_ct_skin_s1,0.011832998594499256,0.02026640963507459,③ 가산식 원값
f_ct_skin_s2,0.03152284034568102,0.03727058797930616,③ 가산식 원값
f_max_pct,0.08092351927598951,0.08498641200182372,④ 역할별 농도
f_pct_active,0.07542562489278716,0.07951695224882388,④ 역할별 농도
f_pct_active_presumed,0.07616306490635345,0.07877840576100167,④ 역할별 농도
f_pct_carrier_inert,0.012519565469313081,0.01308895707798394,④ 역할별 농도
f_pct_fragrance_dye,0.0031065996927522013,0.0077969921325656165,④ 역할별 농도
f_pct_ph_adjuster,0.0011041229829839086,0.0018752414649533943,④ 역할별 농도
f_pct_preservative,0.0012714528814087157,0.0010647567603924873,④ 역할별 농도
f_pct_propellant,0.0021682522733305247,0.001890392748537104,④ 역할별 농도
f_pct_solvent,0.02036317034017302,0.016183795456248685,④ 역할별 농도
f_pct_surfactant,0.010852993589394937,0.00483213338905074,④ 역할별 농도
f_pct_synergist,0.0014472422446241845,0.002067574184705986,④ 역할별 농도
f_pct_unknown,0.052213001677010415,0.0503000817298633,④ 역할별 농도
f_pct_water,0.0015031558976946885,0.0013768395398988536,④ 역할별 농도
f_shannon,0.05052853177625831,0.05236333967867631,⑤ 조성 다양성
f_simpson,0.050534055709851956,0.05048433508550217,⑤ 조성 다양성
ct_not_applicable,0.0004895757357957054,0.0009107964602843056,⑥ 이진 플래그
f_has_synergist,0.0011900574552779876,0.0013788291872404085,⑥ 이진 플래그
