comparison,endpoint,label_regime,feature_set,n_inclusive,n_variant,p_inclusive,p_variant,n_groups_inclusive,n_groups_variant,d_roc_auc,sd_pooled_roc_auc,d_mcc,sd_pooled_mcc,d_f1_minus_dummy,low_confidence
strict_skin_only3_vs_inclusive,skin,regulatory,S1_chemistry,515,515,0.5262135922330097,0.4970873786407767,349,349,0.0033332652599107337,0.013414463760989453,-0.032412787457901715,0.02130901148734878,0.6506221687005261,False
strict_vs_inclusive,skin,regulatory,S1_minus_CT26,515,515,0.5262135922330097,0.4970873786407767,349,349,-0.0022456394228558274,0.014010450759866263,-0.03879969285818896,0.03285055450295228,0.6503697556035415,False
strict_drop_vs_inclusive,skin,regulatory,S1_minus_CT26,515,500,0.5262135922330097,0.512,349,339,0.0037290143329198333,0.014663335978713162,0.014399872526035418,0.02011010985196657,0.00993031460161553,False
strict_skin_only3_vs_inclusive,skin,regulatory,S1_minus_CT26,515,515,0.5262135922330097,0.4970873786407767,349,349,-0.0022456394228558274,0.014010450759866263,-0.03879969285818896,0.03285055450295228,0.6503697556035415,False
strict_vs_inclusive,skin,regulatory_minus_sdsv1,S1_chemistry,230,230,0.49565217391304356,0.47391304347826085,188,188,-0.0005808148846471184,0.02120022467616658,0.001405269969733891,0.07574062536777942,-0.013314623926981128,False
strict_drop_vs_inclusive,skin,regulatory_minus_sdsv1,S1_chemistry,230,225,0.49565217391304356,0.4844444444444445,188,183,-0.008393621272415386,0.017946809457972952,-0.039062831175533,0.06699209510403115,-0.024338733232412757,False
strict_skin_only3_vs_inclusive,skin,regulatory_minus_sdsv1,S1_chemistry,230,230,0.49565217391304356,0.47391304347826085,188,188,-0.0005808148846471184,0.02120022467616658,0.001405269969733891,0.07574062536777942,-0.013314623926981128,False
strict_vs_inclusive,skin,regulatory_minus_sdsv1,S1_minus_CT26,230,230,0.49565217391304356,0.47391304347826085,188,188,0.00044142772921595963,0.01870957799625639,0.027747443970884134,0.060489683724123354,-0.0030078794776287054,False
strict_drop_vs_inclusive,skin,regulatory_minus_sdsv1,S1_minus_CT26,230,225,0.49565217391304356,0.4844444444444445,188,183,-0.01282877392785986,0.017635924111794547,-0.024350686924402676,0.053509903769202186,-0.020259613328658332,False
strict_skin_only3_vs_inclusive,skin,regulatory_minus_sdsv1,S1_minus_CT26,230,230,0.49565217391304356,0.47391304347826085,188,188,0.00044142772921595963,0.01870957799625639,0.027747443970884134,0.060489683724123354,-0.0030078794776287054,False
minusCT26_vs_S1,eye,all,inclusive,1153,1153,0.6183868169991327,0.6183868169991327,477,477,0.0006591865357643556,0.013024765581734002,0.014354086530265986,0.02392500080927774,0.00442274340691351,False
minusCT26_vs_S1,eye,measured,inclusive,608,608,0.6414473684210527,0.6414473684210527,273,273,-0.0011385556339683633,0.013169574048705354,0.001229863511885615,0.016998725906781084,-0.000772552119166936,False
minusCT26_vs_S1,eye,regulatory,inclusive,545,545,0.5926605504587156,0.5926605504587156,351,351,-0.0004155858645022992,0.021717675760429225,-0.005379451487703246,0.036204025297444105,0.0008480744509283822,False
minusCT26_vs_S1,eye,regulatory_minus_sdsv1,inclusive,255,255,0.5568627450980392,0.5568627450980392,202,202,-0.000660600772778186,0.023130641941270246,0.0010617960437687701,0.056704333574458865,0.0016382353686672513,False
minusCT26_vs_S1,eye,all,strict,1153,1153,0.3347788378143972,0.3347788378143972,477,477,-0.0049563942687679274,0.010474831332281113,-0.004238493523113118,0.04039928666263459,-0.006891935292324014,False
minusCT26_vs_S1,eye,measured,strict,608,608,0.19078947368421054,0.19078947368421054,273,273,-0.005988926268573058,0.01438650570876715,-0.005552890443185049,0.06326159385209677,-0.0020061440094383265,False
minusCT26_vs_S1,eye,regulatory,strict,545,545,0.4954128440366973,0.4954128440366973,351,351,0.002871380471380358,0.018063083814299375,0.008920481626201043,0.04423143203688028,0.005098477636635734,False
minusCT26_vs_S1,eye,regulatory_minus_sdsv1,strict,255,255,0.4549019607843137,0.4549019607843137,202,202,-0.0042917390225749585,0.014209958150545545,0.004836626786635323,0.02202151049713795,0.005805807245218841,False
minusCT26_vs_S1,eye,all,strict_drop,826,826,0.4673123486682808,0.4673123486682808,415,415,-0.0007171455487517964,0.01035198572113027,-0.014792417535319291,0.02635127581135446,-0.009820161498669044,False
minusCT26_vs_S1,eye,measured,strict_drop,334,334,0.3473053892215569,0.3473053892215569,193,193,-0.005670673837393281,0.015128984339156016,-0.012813832950565929,0.053150295640429855,-0.001602386921529808,False
minusCT26_vs_S1,eye,regulatory,strict_drop,492,492,0.5487804878048781,0.5487804878048781,327,327,-0.006406406406406329,0.016859351703226257,-0.016405132024375046,0.042013288918863266,-0.0073787952391317635,False
minusCT26_vs_S1,eye,regulatory_minus_sdsv1,strict_drop,229,229,0.5065502183406113,0.5065502183406113,185,185,0.0006179432407690255,0.007908388497484648,-0.0034656781896119093,0.04091811652412187,-0.0012283230475896856,False
minusCT26_vs_S1,skin,all,inclusive,1059,1059,0.35033050047214354,0.35033050047214354,477,477,-0.0006852159468441199,0.007493529687843338,0.0037367133649041095,0.022083289272644736,0.0010865656036718185,False
