Formulation_ID,product_name,제형코드,제형코드_출처,v5_formulation_code,배정범위내,확보값_원문,파싱값,파싱하한,파싱상한,값형태,측정조건,측정조건_원문,근거URL,극단pH게이트,극단pH게이트_조건무시,기존값충돌,v5조인,v5물리형태,미확보사유,미확보세부,귀속등급,귀속코드,제품명불일치자인,제형표기모순,사람검토요망,상세기록,채택가능,판정근거
EyeIrritation6pack_PID132,Bayonet 2,SL,제형코드시트.추출정보(팀원기입),,Y,7.7 (50/50 Aqueous),7.7,7.7,7.7,단일,기타,50/50 수용액,https://s3-us-west-1.amazonaws.com/agrian-cg-fs1-production/pdfs/Trifluralin_10G_MSDS4.pdf,해당없음,해당없음,해당없음(v5 ph_best 결측),Y,,,,참고값 - 동일 제품 아님,출처: 타제품 완제품 SDS,N,N,N,N,보류,참고값 - 동일 제품 아님 - 제품 자체 pH 아님(성분/타제품 참고값)
EyeIrritation6pack_PID205,Cavicide 1,SL,제형코드시트.추출정보(팀원기입),,Y,,,,,,,,,,,해당없음(v5 ph_best 결측),Y,,참고값 기각 - 정보량 부족,A1 제품문서 실측,참고값 기각 - 정보량 부족,A1 제품문서 실측,N,N,N,Y,보류,확보값 없음 · 참고값 기각 - 정보량 부족 · A1 제품문서 실측
EyeIrritation6pack_PID223,Chemsico Pesticide Concentrate WI-N,SL,제형코드시트.추출정보(팀원기입),,Y,,,,,,,,,,,해당없음(v5 ph_best 결측),Y,,근거 확보 실패,검색결과 없음,근거 확보 실패,검색결과 없음,N,N,N,N,보류,확보값 없음 · 근거 확보 실패 · 검색결과 없음
EyeIrritation6pack_PID224,Chemsico Pesticide Concentrate WI-S,SL,제형코드시트.추출정보(팀원기입),,Y,,,,,,,,,,,해당없음(v5 ph_best 결측),Y,,근거 확보 실패,검색결과 없음,근거 확보 실패,검색결과 없음,N,N,N,Y,보류,확보값 없음 · 근거 확보 실패 · 검색결과 없음
EyeIrritation6pack_PID226,Chemsico Pesticide Granules WI-S,SL,제형코드시트.추출정보(팀원기입),,Y,,,,,,,,,,,해당없음(v5 ph_best 결측),Y,,근거 확보 실패,출처: 없음 - 주성분 SDS 미확보,근거 확보 실패,출처: 없음 - 주성분 SDS 미확보,N,N,N,N,보류,확보값 없음 · 근거 확보 실패 · 출처: 없음 - 주성분 SDS 미확보
EyeIrritation6pack_PID325,Dinotefuron(99%),SL,제형코드시트.추출정보(팀원기입),,Y,"6.2, 1% w/v aqueous solution",6.2,6.2,6.2,단일,1%수용액,1% w/v 수용액,https://web.archive.org/web/20250420094255/https://www.apvma.gov.au/sites/default/files/publication/18426-prs-dinotefuran.pdf,해당없음,해당없음,해당없음(v5 ph_best 결측),Y,solid,,,참고값 - 동일 제품 아님,출처: 호주 APVMA 공개요약서(Starkle 200 SG Insecticide) 제품 물성표,N,N,N,Y,보류,참고값 - 동일 제품 아님 - 제품 자체 pH 아님(성분/타제품 참고값)
EyeIrritation6pack_PID352,DuPont DPX-KJM44 Herbicide,SL,제형코드시트.추출정보(팀원기입),,Y,,,,,,,,,,,해당없음(v5 ph_best 결측),Y,,참고값 기각 - 귀속 불성립,D1 미지배성분 대입,참고값 기각 - 귀속 불성립,D1 미지배성분 대입,N,N,N,Y,보류,확보값 없음 · 참고값 기각 - 귀속 불성립 · D1 미지배성분 대입
EyeIrritation6pack_PID370,Dynasty Extreme,SL,제형코드시트.추출정보(팀원기입),,Y,,,,,,,,,,,해당없음(v5 ph_best 결측),Y,,참고값 기각 - 정보량 부족,A2 동일제품 동의어·리브랜딩,참고값 기각 - 정보량 부족,A2 동일제품 동의어·리브랜딩,N,N,N,Y,보류,확보값 없음 · 참고값 기각 - 정보량 부족 · A2 동일제품 동의어·리브랜딩
EyeIrritation6pack_PID373,Echo 375/Cymoxaanil 50,SL,제형코드시트.추출정보(팀원기입),,Y,4.0 - 5.5 at 21 C,4-5.5,4.0,5.5,범위,원액,원액 21 C,https://s3-us-west-1.amazonaws.com/agrian-cg-fs1-production/pdfs/Drexel_Chlorothalonil_720_MSDS4.pdf,해당없음,해당없음,해당없음(v5 ph_best 결측),Y,,,,참고값 - 동일 제품 아님,출처: 제조사 SDS,N,N,N,Y,보류,참고값 - 동일 제품 아님 - 제품 자체 pH 아님(성분/타제품 참고값)
EyeIrritation6pack_PID375,Ecolife One-Pack,SL,제형코드시트.추출정보(팀원기입),,Y,,,,,,,,,,,해당없음(v5 ph_best 결측),Y,,참고값 기각 - 귀속 불성립,D4 pH 비지배 성분 대입,참고값 기각 - 귀속 불성립,D4 pH 비지배 성분 대입,N,N,N,Y,보류,확보값 없음 · 참고값 기각 - 귀속 불성립 · D4 pH 비지배 성분 대입
