endpoint,피처셋,열수,관할,n,유병률,roc_auc,roc_auc_sd,pr_auc,pr_auc_sd,MCC,MCC_sd,BA,BA_sd,재현율,재현율_sd,특이도,특이도_sd,roc_auc_보정,roc_auc_보정_sd,tau_평균,tau_sd
eye,L2단독,42,EU_CLP,1044,0.3697,0.7265,0.01,0.6251,0.0119,0.3422,0.0161,0.6738,0.0075,0.6233,0.013,0.7243,0.0198,0.658,0.011,0.4909,0.057
eye,L2단독_감작제외,35,EU_CLP,1044,0.3697,0.7078,0.0082,0.6129,0.0131,0.2799,0.0203,0.6435,0.011,0.6347,0.0662,0.6523,0.058,0.6469,0.0109,0.4639,0.0708
skin,L2단독,42,EU_CLP,1059,0.3362,0.7015,0.0023,0.5241,0.0093,0.2797,0.0091,0.6465,0.0045,0.6287,0.0338,0.6643,0.033,0.647,0.0034,0.4455,0.0677
skin,L2단독_감작제외,35,EU_CLP,1059,0.3362,0.6981,0.0038,0.5311,0.013,0.2682,0.0177,0.6402,0.0084,0.6135,0.0292,0.6669,0.0341,0.6372,0.0031,0.4542,0.0719
