대표,단위,endpoint,관할,피처,피처정리,열수,결측처리,CT,n,양성,유병률,roc_auc,roc_auc_sd,pr_auc,pr_auc_sd,f1_pos,f1_pos_sd,f1_neg,f1_macro,precision,recall,specificity,MCC,BA,accuracy,tp,fp,fn,tn,F1_최적임계값_참고_seed4,최적임계값_참고_seed4,f1_neg_sd,f1_macro_sd,precision_sd,recall_sd,specificity_sd,MCC_sd,BA_sd,accuracy_sd
0,제형,eye,EU_CLP,제형집계+물성+CT,v7_정리,210,nan0,CT_A0,1044,386,0.3697,0.7429,0.0023,0.6556,0.0118,0.5983,0.0073,0.7928,0.6956,0.6549,0.5508,0.8298,0.3969,0.6903,0.7266,212.6,112.0,173.4,546.0,0.6293,0.371,0.0025,0.0048,0.005,0.0094,0.0024,0.0092,0.0049,0.0038
0,제형,eye,EU_CLP,제형집계+물성+CT,v7_정리,210,nan0,CT_권고,1044,386,0.3697,0.759,0.0026,0.6728,0.0081,0.6115,0.0087,0.8003,0.7059,0.6712,0.5617,0.8386,0.418,0.7001,0.7362,216.8,106.2,169.2,551.8,0.6396,0.376,0.0032,0.0057,0.0066,0.0121,0.0046,0.0107,0.0058,0.0045
0,제형,eye,EU_CLP,제형집계+물성+CT,v7_정리,210,native,CT_A0,1044,386,0.3697,0.7536,0.0065,0.6672,0.0075,0.5979,0.0069,0.7947,0.6963,0.6599,0.5466,0.8347,0.3993,0.6906,0.7282,211.0,108.8,175.0,549.2,0.6363,0.376,0.004,0.0051,0.0093,0.0092,0.0072,0.0103,0.0049,0.0048
0,제형,eye,EU_CLP,제형집계+물성+CT,v7_정리,210,native,CT_권고,1044,386,0.3697,0.7646,0.0048,0.6789,0.0095,0.613,0.0081,0.8032,0.7081,0.6787,0.5591,0.8447,0.4235,0.7019,0.7391,215.8,102.2,170.2,555.8,0.6496,0.317,0.0038,0.0057,0.0087,0.0104,0.006,0.0111,0.0055,0.0049
0,제형,eye,EU_CLP,제형집계+물성+CT,v7_정리,210,native_복원,CT_A0,1044,386,0.3697,0.7515,0.005,0.6673,0.0083,0.6021,0.0073,0.7966,0.6994,0.6642,0.5508,0.8365,0.4055,0.6936,0.7308,212.6,107.6,173.4,550.4,0.6371,0.326,0.0051,0.0056,0.0122,0.0103,0.01,0.0119,0.0053,0.0057
0,제형,eye,EU_CLP,제형집계+물성+CT,v7_정리,210,native_복원,CT_권고,1044,386,0.3697,0.7647,0.0039,0.6816,0.0079,0.6167,0.0064,0.8049,0.7108,0.6822,0.5627,0.8462,0.4288,0.7044,0.7414,217.2,101.2,168.8,556.8,0.6525,0.342,0.0036,0.0047,0.0086,0.0085,0.0064,0.0095,0.0045,0.0043
0,제형,skin,UN_GHS,제형집계+물성+CT,v6_원본,221,nan0,CT_A0,615,371,0.6033,0.6882,0.0093,0.7567,0.0126,0.7433,0.0091,0.5477,0.6455,0.7051,0.786,0.5,0.2982,0.643,0.6725,291.6,122.0,79.4,122.0,0.7844,0.316,0.0176,0.0129,0.0095,0.0123,0.0203,0.0255,0.0125,0.0116
0,제형,skin,UN_GHS,제형집계+물성+CT,v6_원본,221,nan0,CT_권고,615,371,0.6033,0.7334,0.0064,0.7875,0.0064,0.7679,0.0065,0.5881,0.678,0.7267,0.814,0.5344,0.3642,0.6742,0.7031,302.0,113.6,69.0,130.4,0.7906,0.366,0.013,0.0094,0.0071,0.0087,0.0155,0.0184,0.0091,0.0083
0,제형,skin,UN_GHS,제형집계+물성+CT,v6_원본,221,native,CT_A0,615,371,0.6033,0.6992,0.0116,0.7633,0.0155,0.7477,0.0067,0.5527,0.6502,0.7078,0.7925,0.5025,0.3082,0.6475,0.6774,294.0,121.4,77.0,122.6,0.7875,0.383,0.0116,0.0084,0.0061,0.0113,0.0147,0.017,0.0081,0.0078
0,제형,skin,UN_GHS,제형집계+물성+CT,v6_원본,221,native,CT_권고,615,371,0.6033,0.735,0.0107,0.7899,0.0097,0.7659,0.0115,0.5916,0.6788,0.7289,0.807,0.5434,0.3641,0.6752,0.7024,299.4,111.4,71.6,132.6,0.7903,0.336,0.0218,0.0164,0.0119,0.0133,0.0231,0.0326,0.0159,0.0149
