endpoint,관할,결측처리,CT,지표,v6_원본,v7_정리,차이,잡음폭,판정
eye,EU_CLP,native,CT_A0,recall,0.5472,0.5466,-0.0006,0.0203,잡음 범위
eye,EU_CLP,native,CT_A0,specificity,0.8337,0.8347,0.001,0.0189,잡음 범위
eye,EU_CLP,native,CT_권고,roc_auc,0.7656,0.7646,-0.001,0.0074,잡음 범위
eye,EU_CLP,native,CT_권고,pr_auc,0.6822,0.6789,-0.0033,0.0178,잡음 범위
eye,EU_CLP,native,CT_권고,MCC,0.4315,0.4235,-0.008,0.0193,잡음 범위
eye,EU_CLP,native,CT_권고,BA,0.7059,0.7019,-0.004,0.0099,잡음 범위
eye,EU_CLP,native,CT_권고,recall,0.5653,0.5591,-0.0062,0.0205,잡음 범위
eye,EU_CLP,native,CT_권고,specificity,0.8465,0.8447,-0.0018,0.0112,잡음 범위
eye,EU_CLP,native_복원,CT_A0,roc_auc,0.7509,0.7515,0.0006,0.0084,잡음 범위
eye,EU_CLP,native_복원,CT_A0,pr_auc,0.6659,0.6673,0.0014,0.0164,잡음 범위
eye,EU_CLP,native_복원,CT_A0,MCC,0.4076,0.4055,-0.0021,0.0221,잡음 범위
eye,EU_CLP,native_복원,CT_A0,BA,0.6949,0.6936,-0.0013,0.0094,잡음 범위
eye,EU_CLP,native_복원,CT_A0,recall,0.5539,0.5508,-0.0031,0.0202,잡음 범위
eye,EU_CLP,native_복원,CT_A0,specificity,0.8359,0.8365,0.0006,0.0215,잡음 범위
eye,EU_CLP,native_복원,CT_권고,roc_auc,0.7634,0.7647,0.0013,0.0096,잡음 범위
eye,EU_CLP,native_복원,CT_권고,pr_auc,0.681,0.6816,0.0006,0.0173,잡음 범위
eye,EU_CLP,native_복원,CT_권고,MCC,0.4322,0.4288,-0.0034,0.0195,잡음 범위
eye,EU_CLP,native_복원,CT_권고,BA,0.707,0.7044,-0.0026,0.0097,잡음 범위
eye,EU_CLP,native_복원,CT_권고,recall,0.5705,0.5627,-0.0078,0.0192,잡음 범위
eye,EU_CLP,native_복원,CT_권고,specificity,0.8435,0.8462,0.0027,0.0122,잡음 범위
skin,UN_GHS,nan0,CT_A0,roc_auc,0.6882,0.6937,0.0055,0.021,잡음 범위
skin,UN_GHS,nan0,CT_A0,pr_auc,0.7567,0.7607,0.004,0.0299,잡음 범위
skin,UN_GHS,nan0,CT_A0,MCC,0.2982,0.2968,-0.0014,0.0521,잡음 범위
skin,UN_GHS,nan0,CT_A0,BA,0.643,0.643,0.0,0.0253,잡음 범위
skin,UN_GHS,nan0,CT_A0,recall,0.786,0.7795,-0.0065,0.024,잡음 범위
skin,UN_GHS,nan0,CT_A0,specificity,0.5,0.5066,0.0066,0.0361,잡음 범위
skin,UN_GHS,nan0,CT_권고,roc_auc,0.7334,0.7252,-0.0082,0.0108,잡음 범위
skin,UN_GHS,nan0,CT_권고,pr_auc,0.7875,0.7846,-0.0029,0.0127,잡음 범위
skin,UN_GHS,nan0,CT_권고,MCC,0.3642,0.3469,-0.0173,0.0406,잡음 범위
skin,UN_GHS,nan0,CT_권고,BA,0.6742,0.6661,-0.0081,0.0192,잡음 범위
skin,UN_GHS,nan0,CT_권고,recall,0.814,0.8059,-0.0081,0.0248,잡음 범위
skin,UN_GHS,nan0,CT_권고,specificity,0.5344,0.5262,-0.0082,0.0296,잡음 범위
skin,UN_GHS,native,CT_A0,roc_auc,0.6992,0.7066,0.0074,0.021,잡음 범위
skin,UN_GHS,native,CT_A0,pr_auc,0.7633,0.7681,0.0048,0.0298,잡음 범위
skin,UN_GHS,native,CT_A0,MCC,0.3082,0.3154,0.0072,0.0249,잡음 범위
skin,UN_GHS,native,CT_A0,BA,0.6475,0.6514,0.0039,0.0123,잡음 범위
skin,UN_GHS,native,CT_A0,recall,0.7925,0.7914,-0.0011,0.0144,잡음 범위
skin,UN_GHS,native,CT_A0,specificity,0.5025,0.5115,0.009,0.0236,잡음 범위
skin,UN_GHS,native,CT_권고,roc_auc,0.735,0.7329,-0.0021,0.0191,잡음 범위
skin,UN_GHS,native,CT_권고,pr_auc,0.7899,0.7876,-0.0023,0.0177,잡음 범위
skin,UN_GHS,native,CT_권고,MCC,0.3641,0.3538,-0.0103,0.0485,잡음 범위
skin,UN_GHS,native,CT_권고,BA,0.6752,0.6705,-0.0047,0.0232,잡음 범위
skin,UN_GHS,native,CT_권고,recall,0.807,0.8016,-0.0054,0.0228,잡음 범위
skin,UN_GHS,native,CT_권고,specificity,0.5434,0.5393,-0.0041,0.0305,잡음 범위
skin,UN_GHS,native_복원,CT_A0,roc_auc,0.7004,0.7045,0.0041,0.0222,잡음 범위
skin,UN_GHS,native_복원,CT_A0,pr_auc,0.7616,0.7671,0.0055,0.0322,잡음 범위
skin,UN_GHS,native_복원,CT_A0,MCC,0.3036,0.316,0.0124,0.0436,잡음 범위
skin,UN_GHS,native_복원,CT_A0,BA,0.6457,0.6524,0.0067,0.0205,잡음 범위
skin,UN_GHS,native_복원,CT_A0,recall,0.7865,0.786,-0.0005,0.0223,잡음 범위
skin,UN_GHS,native_복원,CT_A0,specificity,0.5049,0.5189,0.014,0.0222,잡음 범위
skin,UN_GHS,native_복원,CT_권고,roc_auc,0.7357,0.7321,-0.0036,0.0198,잡음 범위
skin,UN_GHS,native_복원,CT_권고,pr_auc,0.7907,0.79,-0.0007,0.0162,잡음 범위
skin,UN_GHS,native_복원,CT_권고,MCC,0.3629,0.3524,-0.0105,0.0489,잡음 범위
skin,UN_GHS,native_복원,CT_권고,BA,0.6748,0.6692,-0.0056,0.0228,잡음 범위
skin,UN_GHS,native_복원,CT_권고,recall,0.8054,0.8049,-0.0005,0.0264,잡음 범위
skin,UN_GHS,native_복원,CT_권고,specificity,0.5443,0.5336,-0.0107,0.0249,잡음 범위
skin,EU_CLP+K_REACH+US_OSHA,nan0,CT_A0,roc_auc,0.7547,0.7551,0.0004,0.0148,잡음 범위
skin,EU_CLP+K_REACH+US_OSHA,nan0,CT_A0,pr_auc,0.6393,0.6407,0.0014,0.011,잡음 범위
skin,EU_CLP+K_REACH+US_OSHA,nan0,CT_A0,MCC,0.3726,0.3737,0.0011,0.0353,잡음 범위
skin,EU_CLP+K_REACH+US_OSHA,nan0,CT_A0,BA,0.6776,0.6789,0.0013,0.0163,잡음 범위
skin,EU_CLP+K_REACH+US_OSHA,nan0,CT_A0,recall,0.5191,0.5242,0.0051,0.0229,잡음 범위
skin,EU_CLP+K_REACH+US_OSHA,nan0,CT_A0,specificity,0.8361,0.8336,-0.0025,0.0168,잡음 범위
skin,EU_CLP+K_REACH+US_OSHA,nan0,CT_권고,roc_auc,0.7697,0.7683,-0.0014,0.0092,잡음 범위
skin,EU_CLP+K_REACH+US_OSHA,nan0,CT_권고,pr_auc,0.645,0.649,0.004,0.0068,잡음 범위
skin,EU_CLP+K_REACH+US_OSHA,nan0,CT_권고,MCC,0.3852,0.3882,0.003,0.0277,잡음 범위
skin,EU_CLP+K_REACH+US_OSHA,nan0,CT_권고,BA,0.6838,0.6862,0.0024,0.0117,잡음 범위
skin,EU_CLP+K_REACH+US_OSHA,nan0,CT_권고,recall,0.5281,0.536,0.0079,0.0153,잡음 범위
skin,EU_CLP+K_REACH+US_OSHA,nan0,CT_권고,specificity,0.8395,0.8364,-0.0031,0.0183,잡음 범위
skin,EU_CLP+K_REACH+US_OSHA,native,CT_A0,roc_auc,0.7612,0.7623,0.0011,0.0118,잡음 범위
skin,EU_CLP+K_REACH+US_OSHA,native,CT_A0,pr_auc,0.6481,0.6478,-0.0003,0.0082,잡음 범위
skin,EU_CLP+K_REACH+US_OSHA,native,CT_A0,MCC,0.3655,0.3886,0.0231,0.0151,개선
skin,EU_CLP+K_REACH+US_OSHA,native,CT_A0,BA,0.6733,0.6847,0.0114,0.007,개선
skin,EU_CLP+K_REACH+US_OSHA,native,CT_A0,recall,0.5079,0.5253,0.0174,0.0151,개선
skin,EU_CLP+K_REACH+US_OSHA,native,CT_A0,specificity,0.8387,0.8441,0.0054,0.0119,잡음 범위
skin,EU_CLP+K_REACH+US_OSHA,native,CT_권고,roc_auc,0.7754,0.7717,-0.0037,0.0077,잡음 범위
skin,EU_CLP+K_REACH+US_OSHA,native,CT_권고,pr_auc,0.656,0.657,0.001,0.012,잡음 범위
skin,EU_CLP+K_REACH+US_OSHA,native,CT_권고,MCC,0.3985,0.4062,0.0077,0.0199,잡음 범위
skin,EU_CLP+K_REACH+US_OSHA,native,CT_권고,BA,0.6896,0.6931,0.0035,0.008,잡음 범위
skin,EU_CLP+K_REACH+US_OSHA,native,CT_권고,recall,0.5331,0.5371,0.004,0.0112,잡음 범위
skin,EU_CLP+K_REACH+US_OSHA,native,CT_권고,specificity,0.8461,0.8492,0.0031,0.0156,잡음 범위
skin,EU_CLP+K_REACH+US_OSHA,native_복원,CT_A0,roc_auc,0.7619,0.761,-0.0009,0.0119,잡음 범위
skin,EU_CLP+K_REACH+US_OSHA,native_복원,CT_A0,pr_auc,0.6472,0.6471,-0.0001,0.0078,잡음 범위
skin,EU_CLP+K_REACH+US_OSHA,native_복원,CT_A0,MCC,0.3796,0.387,0.0074,0.0218,잡음 범위
skin,EU_CLP+K_REACH+US_OSHA,native_복원,CT_A0,BA,0.68,0.6834,0.0034,0.0108,잡음 범위
skin,EU_CLP+K_REACH+US_OSHA,native_복원,CT_A0,recall,0.5174,0.5213,0.0039,0.0227,잡음 범위
skin,EU_CLP+K_REACH+US_OSHA,native_복원,CT_A0,specificity,0.8427,0.8455,0.0028,0.0136,잡음 범위
skin,EU_CLP+K_REACH+US_OSHA,native_복원,CT_권고,roc_auc,0.7726,0.7743,0.0017,0.0086,잡음 범위
skin,EU_CLP+K_REACH+US_OSHA,native_복원,CT_권고,pr_auc,0.6538,0.6572,0.0034,0.0125,잡음 범위
skin,EU_CLP+K_REACH+US_OSHA,native_복원,CT_권고,MCC,0.39,0.4054,0.0154,0.0316,잡음 범위
skin,EU_CLP+K_REACH+US_OSHA,native_복원,CT_권고,BA,0.6858,0.6926,0.0068,0.0165,잡음 범위
skin,EU_CLP+K_REACH+US_OSHA,native_복원,CT_권고,recall,0.5292,0.5354,0.0062,0.0329,잡음 범위
skin,EU_CLP+K_REACH+US_OSHA,native_복원,CT_권고,specificity,0.8424,0.8498,0.0074,0.0145,잡음 범위
