endpoint,값보유_고유물질,표기까지_불일치_물질,표기불일치_성분행,심각도_불일치_물질,심각도불일치_성분행,구분granularity차이_물질,구분granularity차이_성분행,심각도_불일치율
eye,172,0,0,0,0,0,0,0.0
skin,173,2,21,0,0,1,12,0.0
