endpoint,MSDS값_보유물질,대조성공,대조커버리지,표본미포함,DB미등재,표본안_커버리지,심각도일치,일치율,MSDS가_낮음,MSDS가_높음,구분granularity차이,구분granularity차이_성분행,MSDS낮음_성분행,tier1_대조,tier1보다_낮음,tier1보다낮음_성분행
eye,172,99,0.5756,44,29,0.7734,96,0.9697,1,1,1,1,8,25,1,8
skin,173,104,0.6012,45,24,0.8125,103,0.9904,0,0,1,7,0,22,0,0
