endpoint,총_성분행,MSDS선언값,독립조사값,둘다없음,농도있음,MSDS값_그리고_농도,가산식_가용
eye,5287,1223,1355,2709,3166,926,2093
skin,5287,1224,1355,2708,3166,927,2094
