roc_auc,roc_auc_sd,mcc,mcc_sd,f1,f1_sd,ba,ba_sd,dummy_f1_allpos,dummy_f1_allpos_sd,n,n_pos,prevalence,n_groups,task,arm,ep,features,note,ct_coverage
0.755560866294741,0.005043358574587347,0.36975100804087135,0.010086566919991323,0.5702876438065839,0.00864471989122451,0.6770051087569736,0.005470891628208502,0.5188811188811189,0.0,1059,371,0.35033050047214354,477,skin_mapping,V0_current,skin,S1_chemistry,V0 폴드 고정,
0.755560866294741,0.005043358574587347,0.36975100804087135,0.010086566919991323,0.5702876438065839,0.00864471989122451,0.6770051087569736,0.005470891628208502,0.5188811188811189,0.0,1059,371,0.35033050047214354,477,skin_mapping,V1_correct_map,skin,S1_chemistry,V0 폴드 고정,
0.7743008344312692,0.006554906831428745,0.4271602156685563,0.013622412302814156,0.5797216902374677,0.01060671827432006,0.706357048748353,0.007025210660595568,0.4415011037527593,6.206335383118183e-17,1059,300,0.28328611898017,477,skin_mapping,V2_eu_epa3_neg,skin,S1_chemistry,V0 폴드 고정,
0.785252876800515,0.004932898704165999,0.47428384382261574,0.014335687081289574,0.6217139561522035,0.01079319891849984,0.7304613945441378,0.007389475555276266,0.4565560821484992,0.0,977,289,0.29580348004094165,463,skin_mapping,V3_drop82,skin,S1_chemistry,폴드 재산출(행 감소) — V0 과 직접 비교 불가,
0.6387495218666327,0.00974639187500098,0.20152972248917922,0.022703560642070457,0.7396737583201468,0.008310009535741144,0.589798227718985,0.00960403786381923,0.7642015005359056,0.0,1153,713,0.6183868169991327,477,ct_augment,A0_base,eye,S1_chemistry,y 불변·폴드 고정,0.24032167189174805
0.755560866294741,0.005043358574587347,0.36975100804087135,0.010086566919991323,0.5702876438065839,0.00864471989122451,0.6770051087569736,0.005470891628208502,0.5188811188811189,0.0,1059,371,0.35033050047214354,477,ct_augment,A0_base,skin,S1_chemistry,y 불변·폴드 고정,0.24091868681712117
0.6969177733380342,0.013489799651376333,0.2982129454079241,0.03233687910886213,0.6700241421902788,0.012709998279669146,0.6491181885846359,0.016325159233665773,0.6946216955332726,0.0,716,381,0.5321229050279329,364,ct_augment,A0_base,sens,S1_chemistry,y 불변·폴드 고정,0.2411998466224839
0.6643427259977049,0.008516032184144486,0.21333851124445696,0.013198604452714516,0.7390845114460166,0.00700615493772675,0.5968478260869565,0.0055019413204912574,0.7642015005359056,0.0,1153,713,0.6183868169991327,477,ct_augment,A1_aug_all,eye,S1_chemistry,y 불변·폴드 고정,0.5109449445417834
0.7717596220146681,0.002988927901903964,0.38856713064695175,0.011270403266822101,0.5837681352437379,0.008792935613373498,0.6863387764056917,0.005787294941813203,0.5188811188811189,0.0,1059,371,0.35033050047214354,477,ct_augment,A1_aug_all,skin,S1_chemistry,y 불변·폴드 고정,0.5115419594671565
0.7382019038664943,0.006631384840408144,0.35784914913948473,0.029827966774065125,0.6970054568830921,0.013094094320402915,0.6790660868883928,0.014981649980645035,0.6946216955332726,0.0,716,381,0.5321229050279329,364,ct_augment,A1_aug_all,sens,S1_chemistry,y 불변·폴드 고정,0.5118231192725192
