ep,arm,auc_base,auc_arm,d_roc_auc,d_per_seed,sd_paired,t_paired_df4,n_seeds_positive,sd_pooled_참고,d_mcc,cov_base,cov_arm
eye,A1_aug_all,0.6387495218666327,0.6643427259977049,0.025593204131072245,"[0.02028, 0.02566, 0.02507, 0.02966, 0.02729]",0.0034602876963975254,16.538550901038008,5,0.012942756999282256,0.011808788755277744,0.24032167189174805,0.5109449445417834
eye,A2_aug_nc_unknown,0.6387495218666327,0.6643350758638276,0.025585553997194865,"[0.0133, 0.02905, 0.02686, 0.03018, 0.02853]",0.006970343885712582,8.20777839913857,5,0.014715183854558592,0.02054869022633654,0.24032167189174805,0.3300924440943267
eye,A3_aug_annexvi,0.6387495218666327,0.6597143950019125,0.020964873135279838,"[0.01297, 0.02281, 0.01905, 0.0263, 0.02369]",0.0051675173400532156,9.07183825137626,5,0.013180537589953821,0.009338975386823878,0.24032167189174805,0.46754622385948064
eye,A4_shuffled_control,0.6387495218666327,0.6485831314548005,0.009833609588167813,"[0.00562, 0.01516, -0.00036, 0.01827, 0.01047]",0.0074447400565818165,2.953577873265956,4,0.01256307834665708,0.007840017422144463,0.24032167189174805,0.48326292769661683
skin,A1_aug_all,0.755560866294741,0.7717596220146681,0.016198755719927127,"[0.019, 0.01911, 0.01569, 0.01427, 0.01292]",0.0027866200016382985,12.998370398323306,5,0.005862521276263631,0.0188161226060804,0.24091868681712117,0.5115419594671565
skin,A2_aug_nc_unknown,0.755560866294741,0.771452469754905,0.01589160346016405,"[0.01571, 0.01984, 0.01205, 0.01582, 0.01605]",0.0027553523492897143,12.896610343703669,5,0.007651242138567642,0.017325855909328447,0.24091868681712117,0.29632198901043877
skin,A3_aug_annexvi,0.755560866294741,0.7624663072776281,0.0069054409828871455,"[0.00391, 0.01004, 0.00933, 0.00393, 0.00732]",0.0029041781201624537,5.316834854290903,5,0.00806097340021892,0.012481075425366028,0.24091868681712117,0.4862204716680568
skin,A4_shuffled_control,0.755560866294741,0.7574962389519213,0.0019353726571803564,"[0.00145, 0.00837, -4e-05, -0.00057, 0.00047]",0.0036754877624076638,1.177428712322802,3,0.007450349633709891,0.008333956560896083,0.24091868681712117,0.48385994262198995
sens,A1_aug_all,0.6969177733380342,0.7382019038664943,0.04128413052846014,"[0.0176, 0.04366, 0.05088, 0.04152, 0.05276]",0.01405401047410588,6.568525220875374,5,0.015031631965154947,0.059636203731560644,0.2411998466224839,0.5118231192725192
sens,A2_aug_nc_unknown,0.6969177733380342,0.7316989853880205,0.0347812120499863,"[0.01753, 0.04114, 0.03816, 0.03678, 0.04028]",0.00979309028566855,7.94163560377048,5,0.014878095340167999,0.04425290977689633,0.2411998466224839,0.3232126279167886
sens,A3_aug_annexvi,0.6969177733380342,0.7371943432444079,0.04027656990637374,"[0.02319, 0.04122, 0.04507, 0.04301, 0.0489]",0.009969574797884522,9.03359973088162,5,0.015589663520140264,0.05186686427920639,0.2411998466224839,0.4963838868631376
sens,A4_shuffled_control,0.6969177733380342,0.6968535276374036,-6.424570063057189e-05,"[-0.00045, 0.00306, 0.00964, -0.00773, -0.00483]",0.006813775250619211,-0.021083430049912984,2,0.01790039322458499,-0.0018610878598952496,0.2411998466224839,0.48414110242735264
