arm,d_roc_auc,d_per_seed,sd_paired,t_paired_df4,d_mcc,p_base,p_arm
V1_correct_map,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.0,,0.0,0.35033050047214354,0.35033050047214354
V2_eu_epa3_neg,0.01873996813652843,"[0.02306, 0.02527, 0.01094, 0.02301, 0.01141]",0.006965894432319741,6.0155724518356015,0.05740920762768492,0.35033050047214354,0.28328611898017
